start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,771,680,416,0,0,0,0,642,1016,512,109,409,485,641,209,161,137,158,351
2020-04-06,2020-04-19,14,0,587,714,406,0,0,0,0,397,643,325,64,371,512,608,268,149,158,188,319
2020-04-20,2020-05-03,28,0,509,607,406,0,0,0,0,266,465,255,65,218,360,467,173,95,125,150,299
2020-05-04,2020-05-17,42,610,557,614,421,423,778,621,41,330,468,226,79,228,590,602,225,41,134,163,278
2020-05-18,2020-05-31,56,574,548,632,371,385,673,613,75,393,768,469,219,258,716,731,325,68,175,195,273
2020-06-01,2020-06-14,70,540,521,632,379,415,646,562,81,539,953,578,287,291,545,550,234,70,210,196,317
2020-06-15,2020-06-28,84,454,468,606,380,813,560,470,48,368,886,529,248,222,658,656,399,95,288,259,406
2020-06-29,2020-07-12,98,461,459,559,354,644,534,458,56,313,548,339,165,271,567,538,260,64,261,254,371
2020-07-13,2020-07-26,112,15,371,478,223,17,17,21,2,254,438,301,183,249,881,735,418,31,135,113,154
2020-07-27,2020-08-09,126,593,536,580,338,616,804,669,133,537,1596,1036,801,307,680,602,336,57,218,228,302
2020-08-10,2020-08-23,140,595,1423,1175,696,1505,1312,733,287,1735,4023,2316,1184,783,2015,1838,966,220,591,550,695
2020-08-24,2020-09-06,154,690,1476,1429,819,1244,1215,766,211,1439,3392,1880,750,814,2584,2252,1370,216,701,581,794
2020-09-07,2020-09-20,168,897,1266,1420,934,12006,2514,1566,1232,2647,4058,2500,2276,4143,2597,2318,1144,301,768,616,888
2020-09-21,2020-10-04,182,656,1137,1108,619,5778,1444,900,129,2122,2808,1708,786,1789,1428,1321,615,141,505,403,591
2020-10-05,2020-10-18,196,613,960,1035,596,3518,1271,783,152,1227,1782,965,572,1108,1104,1073,525,180,526,492,607
2020-10-19,2020-11-01,210,596,905,1032,733,1727,896,650,73,1355,1637,935,593,745,2954,2420,737,92,395,355,537
2020-11-02,2020-11-15,224,628,1088,1238,807,5855,1197,873,151,2214,1798,1066,380,1214,1797,1694,868,116,416,455,670
2020-11-16,2020-11-29,238,806,1004,1085,703,6991,1561,1065,85,2477,1314,711,298,698,1099,1072,623,123,327,342,504
2020-11-30,2020-12-13,252,729,1047,871,555,7045,1487,861,102,1719,2005,1137,771,370,1111,1026,607,97,455,416,451
2020-12-14,2020-12-27,266,753,1318,1395,802,974,1033,733,131,971,1705,1038,405,790,2089,1714,824,145,534,496,731
2020-12-28,2021-01-10,280,713,1064,1082,656,565,850,599,50,800,1480,815,1649,331,1034,1062,504,67,252,271,435
