start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,781,687,400,0,0,0,0,618,1042,481,120,432,517,629,211,177,141,151,332
2020-04-06,2020-04-19,14,0,579,700,402,0,0,0,0,501,625,323,64,339,541,625,273,138,170,192,337
2020-04-20,2020-05-03,28,0,502,614,395,0,0,0,0,281,481,279,70,219,372,431,173,96,110,170,313
2020-05-04,2020-05-17,42,611,538,632,427,403,770,651,47,289,451,232,55,244,724,746,432,38,170,170,303
2020-05-18,2020-05-31,56,610,539,625,373,441,732,607,68,395,706,432,212,294,604,665,269,65,157,180,265
2020-06-01,2020-06-14,70,567,510,611,347,551,702,605,87,300,650,357,132,276,509,505,231,55,163,192,324
2020-06-15,2020-06-28,84,468,457,582,368,797,562,475,45,343,742,454,292,224,484,480,258,102,220,217,324
2020-06-29,2020-07-12,98,453,442,566,378,556,535,432,43,628,800,518,679,306,669,640,450,116,297,281,556
2020-07-13,2020-07-26,112,12,366,475,238,21,24,17,0,214,469,273,178,242,884,731,542,42,146,124,161
2020-07-27,2020-08-09,126,575,551,595,347,657,801,599,123,437,1207,761,485,286,966,834,305,86,192,194,254
2020-08-10,2020-08-23,140,608,1439,1120,700,1509,1301,753,308,1797,4288,2547,1257,866,1997,1805,942,220,602,569,731
2020-08-24,2020-09-06,154,664,1482,1411,809,1151,1041,661,161,3105,3498,1972,1207,686,2332,2040,1287,279,924,726,840
2020-09-07,2020-09-20,168,885,1279,1457,904,12782,2463,1554,1197,3711,3380,2037,1950,2000,2435,2176,1104,213,754,642,880
2020-09-21,2020-10-04,182,694,1122,1092,598,6507,1552,934,116,1660,3041,1905,1065,3005,1728,1506,751,105,535,433,601
2020-10-05,2020-10-18,196,624,955,1061,599,3495,1240,790,146,1046,1476,793,366,1154,1059,1043,596,227,612,542,795
2020-10-19,2020-11-01,210,623,866,1037,754,1912,937,668,103,1023,1757,1011,647,476,1314,1209,765,163,532,442,691
2020-11-02,2020-11-15,224,628,1110,1213,806,5637,1219,870,135,1872,1819,1016,356,697,1651,1510,821,152,428,458,789
2020-11-16,2020-11-29,238,772,1009,1067,708,5890,1510,972,96,1289,1278,743,267,735,1014,1035,505,159,366,367,512
2020-11-30,2020-12-13,252,660,1061,920,543,4561,1316,791,106,1337,1903,1068,667,507,1430,1284,471,106,453,387,472
2020-12-14,2020-12-27,266,721,1366,1337,793,918,948,706,99,911,1938,1181,610,652,1711,1550,800,149,527,475,674
2020-12-28,2021-01-10,280,679,1075,1061,662,733,858,563,50,711,1469,801,804,357,1119,1131,540,56,272,281,444
2021-01-11,2021-01-24,294,573,1081,809,462,577,759,447,34,700,1168,585,255,306,896,802,594,55,147,192,288
