start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,761,687,406,0,0,0,0,608,1020,477,103,367,533,666,224,182,139,144,353
2020-04-06,2020-04-19,14,0,598,695,399,0,0,0,0,480,633,352,77,372,554,623,283,143,143,179,335
2020-04-20,2020-05-03,28,0,489,611,381,0,0,0,0,251,471,262,60,226,371,444,195,83,121,165,297
2020-05-04,2020-05-17,42,604,565,637,429,410,762,598,38,323,523,273,105,249,625,653,258,42,162,187,295
2020-05-18,2020-05-31,56,570,565,594,355,451,736,598,90,444,817,499,231,258,692,734,457,63,166,191,277
2020-06-01,2020-06-14,70,558,499,616,364,573,711,583,89,487,1004,622,315,309,465,509,191,50,169,204,286
2020-06-15,2020-06-28,84,463,456,578,385,834,577,468,51,454,897,508,287,227,570,541,352,101,291,265,389
2020-06-29,2020-07-12,98,456,455,580,378,554,508,457,52,623,708,469,681,265,621,593,396,101,218,224,536
2020-07-13,2020-07-26,112,14,367,460,238,18,14,24,2,212,414,258,144,209,567,526,538,43,122,133,183
2020-07-27,2020-08-09,126,583,525,611,336,698,824,656,123,454,1391,882,486,359,902,774,383,54,194,204,268
2020-08-10,2020-08-23,140,605,1419,1140,669,1646,1157,678,177,1545,4170,2430,1270,889,2179,1909,1098,214,613,550,717
2020-08-24,2020-09-06,154,675,1479,1406,798,1415,1177,788,202,3293,3777,2169,1340,743,2122,1929,1140,398,911,769,1028
2020-09-07,2020-09-20,168,910,1324,1405,933,14228,2383,1508,205,2990,3524,2087,2073,4297,2054,1881,887,224,775,645,976
2020-09-21,2020-10-04,182,690,1105,1108,603,6983,1503,889,98,1983,2977,1842,1012,2212,1448,1359,700,134,498,403,559
2020-10-05,2020-10-18,196,613,975,1016,597,3221,1150,719,121,1141,1653,903,562,776,1063,1083,643,304,464,406,706
2020-10-19,2020-11-01,210,618,875,1057,732,1859,933,651,93,1162,1839,1032,839,696,3064,2465,994,139,500,414,693
2020-11-02,2020-11-15,224,674,1135,1186,793,5189,1263,906,105,2090,1973,1189,436,1102,1592,1521,899,134,394,429,828
2020-11-16,2020-11-29,238,801,973,1110,692,6453,1543,1057,93,2308,1414,826,543,828,1143,1152,610,150,336,350,509
2020-11-30,2020-12-13,252,689,1059,887,551,5232,1390,827,121,1373,2219,1294,1100,502,1545,1329,471,97,470,398,457
2020-12-14,2020-12-27,266,739,1287,1389,826,885,973,710,111,1025,2072,1273,746,785,1823,1632,779,190,592,520,727
2020-12-28,2021-01-10,280,686,1085,1105,662,691,851,586,50,701,1464,830,1490,344,1246,1211,603,53,291,323,455
2021-01-11,2021-01-24,294,555,1108,809,450,506,705,447,30,770,1288,663,359,298,1022,867,567,48,156,199,313
2021-01-25,2021-02-07,308,575,1098,868,436,620,743,465,26,569,1102,479,134,286,878,814,1119,53,211,179,288
2021-02-08,2021-02-21,322,583,1088,868,471,732,735,484,48,764,1270,682,416,320,856,867,453,57,204,178,327
2021-02-22,2021-03-07,336,539,901,870,533,673,675,468,45,512,1031,548,223,283,770,737,352,38,181,180,379
2021-03-08,2021-03-21,350,612,1024,961,577,3427,1114,643,56,1107,1295,702,492,868,1372,1247,803,70,329,300,390
2021-03-22,2021-04-04,364,602,854,918,581,3311,998,670,72,1644,1554,904,358,767,1324,1175,808,127,275,227,436
2021-04-05,2021-04-18,378,595,852,810,502,1335,981,593,265,622,1376,764,417,598,963,925,548,78,210,225,400
2021-04-19,2021-05-02,392,577,1102,925,562,4715,1193,726,92,1284,1633,960,395,808,1426,1308,670,457,471,425,581
2021-05-03,2021-05-16,406,691,1048,1185,646,5876,1628,1026,210,926,1453,833,390,700,1450,1381,607,108,448,427,500
2021-05-17,2021-05-30,420,661,1031,1201,698,5567,1511,1026,162,1652,2196,1381,682,698,1515,1331,700,451,515,452,437
2021-05-31,2021-06-13,434,835,1412,1449,703,4410,1598,1002,291,1959,2145,1261,715,984,1910,1595,908,313,601,514,553
2021-06-14,2021-06-27,448,789,834,1251,750,5915,1716,1165,188,535,1115,601,248,2384,3112,2429,1898,327,777,612,1604
2021-06-28,2021-07-11,462,796,1085,1609,989,3701,1419,963,205,1204,1929,1110,627,1440,2252,2146,1215,256,1426,1157,1957
2021-07-12,2021-07-25,476,677,658,1286,955,2156,1106,706,127,318,847,505,244,681,2046,1870,1450,232,732,652,872
2021-07-26,2021-08-08,490,725,923,1313,865,897,999,752,165,591,1437,910,385,557,1798,1655,847,302,770,644,858
2021-08-09,2021-08-22,504,732,1686,1468,731,1104,1421,982,322,1424,3090,1778,880,1108,2972,2473,1288,252,1115,897,1426
2021-08-23,2021-09-05,518,782,1316,1308,652,1695,1291,820,160,1267,2060,1184,601,769,1695,1567,903,137,380,384,561
2021-09-06,2021-09-19,532,672,1161,1149,691,3200,1126,806,123,1669,2322,1366,695,508,1254,1244,665,181,530,483,770
2021-09-20,2021-10-03,546,685,1324,1265,644,5693,1263,820,179,2315,2487,1326,997,736,3724,2976,2726,145,442,404,597
2021-10-04,2021-10-17,560,687,1176,1243,502,5330,1306,951,163,913,1957,1145,464,740,1303,1305,732,112,446,434,458
2021-10-18,2021-10-31,574,887,1318,1203,650,2497,1345,941,140,1428,2859,1677,861,793,1471,1428,1084,1139,975,794,1350
2021-11-01,2021-11-14,588,615,1153,1246,632,2715,1088,766,137,1280,2886,1904,795,903,1099,1179,588,189,768,728,870
2021-11-15,2021-11-28,602,691,1528,1041,498,3996,1242,947,97,1605,2245,1177,637,561,926,922,436,106,363,335,632
2021-11-29,2021-12-12,616,757,1213,1010,502,8339,2413,1868,120,1172,1699,889,441,366,789,861,494,766,850,673,894
2021-12-13,2021-12-26,630,875,1586,1211,572,2745,1224,948,149,1102,2147,1190,658,795,1004,971,559,144,515,557,564
2021-12-27,2022-01-09,644,869,1874,1363,637,6660,3163,2313,158,1508,3089,1759,1319,588,1326,1279,750,148,439,386,531
2022-01-10,2022-01-23,658,574,1313,1369,615,3321,1167,704,84,1606,1915,1038,496,1245,1396,1354,802,116,445,402,532
