start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,794,661,393,0,0,0,0,627,1062,486,102,365,465,637,203,147,129,135,326
2020-04-06,2020-04-19,14,0,610,680,403,0,0,0,0,498,682,357,84,357,502,594,262,139,156,203,332
2020-04-20,2020-05-03,28,0,519,587,388,0,0,0,0,270,480,286,74,211,349,419,161,106,139,170,282
2020-05-04,2020-05-17,42,594,552,644,427,425,743,612,51,306,466,243,59,233,757,803,425,39,158,174,274
2020-05-18,2020-05-31,56,598,522,631,357,462,745,627,90,337,742,489,260,237,803,779,520,78,167,191,252
2020-06-01,2020-06-14,70,551,517,601,379,533,657,588,86,469,890,552,233,295,526,552,253,58,197,209,316
2020-06-15,2020-06-28,84,443,473,590,387,624,531,454,75,449,933,601,373,210,641,600,371,116,268,240,393
2020-06-29,2020-07-12,98,454,465,530,374,561,505,427,52,342,722,454,211,287,554,488,281,93,239,224,515
2020-07-13,2020-07-26,112,16,368,483,243,16,18,18,2,269,458,264,156,247,939,794,486,46,133,132,175
2020-07-27,2020-08-09,126,598,566,556,332,611,791,629,132,469,1516,981,690,304,713,612,279,56,209,199,265
2020-08-10,2020-08-23,140,619,1425,1150,687,1699,1356,747,316,1787,4415,2565,1256,953,2377,2055,1129,231,610,576,681
2020-08-24,2020-09-06,154,666,1472,1441,827,1308,1199,792,201,3563,3651,2066,1304,792,2411,2136,1201,260,846,705,804
2020-09-07,2020-09-20,168,904,1275,1442,945,11374,2469,1547,1225,2737,4009,2489,2147,2012,2201,2053,1068,262,752,672,1070
2020-09-21,2020-10-04,182,696,1095,1079,626,6307,1521,941,105,2173,3019,1906,1007,2398,1746,1561,861,125,555,468,589
2020-10-05,2020-10-18,196,623,953,1011,590,3906,1253,829,136,1018,1601,849,481,1091,1110,1093,674,270,553,498,741
2020-10-19,2020-11-01,210,602,891,1045,739,1862,938,699,93,781,1493,791,416,466,1224,1198,552,124,437,416,592
2020-11-02,2020-11-15,224,657,1113,1229,780,4836,1227,879,156,1305,1705,1017,382,1165,1811,1678,948,119,475,460,845
2020-11-16,2020-11-29,238,779,978,1122,694,5774,1517,981,89,2195,1059,590,169,637,1075,1106,707,173,307,315,517
2020-11-30,2020-12-13,252,710,1039,904,556,5946,1381,831,107,1594,1956,1139,953,524,1401,1225,558,100,493,421,487
2020-12-14,2020-12-27,266,729,1331,1381,814,978,965,713,118,1118,1992,1220,531,506,1906,1608,708,156,544,483,723
2020-12-28,2021-01-10,280,710,1100,1072,638,677,870,603,60,686,1329,748,1316,265,1152,1138,487,75,261,276,450
2021-01-11,2021-01-24,294,579,1097,785,456,611,779,449,34,800,1229,581,286,314,997,855,544,50,164,217,311
2021-01-25,2021-02-07,308,602,1043,863,434,708,787,495,33,514,1111,500,143,308,921,857,1142,53,197,186,286
2021-02-08,2021-02-21,322,598,1088,907,455,596,764,464,47,747,1344,711,495,296,822,863,438,55,227,203,388
2021-02-22,2021-03-07,336,563,916,893,526,752,694,487,44,494,913,463,165,228,818,785,393,39,195,175,399
2021-03-08,2021-03-21,350,600,993,991,540,3611,1114,639,64,1090,1240,686,469,1076,1437,1299,741,94,310,285,354
2021-03-22,2021-04-04,364,543,887,906,589,4849,1493,967,1073,693,1445,843,284,798,1340,1209,826,69,245,203,416
