start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,758,689,405,0,0,0,0,607,1012,468,115,399,523,664,225,177,134,149,344
2020-04-06,2020-04-19,14,0,598,709,394,0,0,0,0,500,654,339,72,377,506,636,295,136,153,166,329
2020-04-20,2020-05-03,28,0,502,586,406,0,0,0,0,274,483,311,64,227,336,417,152,98,127,168,318
2020-05-04,2020-05-17,42,600,571,649,412,418,734,609,49,321,472,237,68,233,595,656,239,36,145,177,293
2020-05-18,2020-05-31,56,612,545,615,357,473,720,663,87,357,800,443,199,252,783,802,496,70,153,177,260
2020-06-01,2020-06-14,70,533,525,594,357,507,658,537,82,485,1017,628,274,287,498,505,214,53,173,191,287
2020-06-15,2020-06-28,84,461,470,586,381,759,539,504,53,483,1213,758,488,187,517,525,241,88,277,253,383
2020-06-29,2020-07-12,98,468,457,536,372,577,554,439,50,308,751,453,221,284,516,503,253,38,208,214,325
2020-07-13,2020-07-26,112,12,369,476,240,14,14,16,0,263,521,332,245,246,928,777,594,55,139,129,171
2020-07-27,2020-08-09,126,585,564,561,345,724,814,663,139,501,1603,1045,845,299,879,777,356,77,209,223,303
2020-08-10,2020-08-23,140,605,1385,1142,667,1446,1292,738,284,1648,4147,2471,1187,664,1937,1805,948,219,641,542,691
2020-08-24,2020-09-06,154,659,1494,1442,784,957,1060,699,156,3554,3515,2032,1436,705,2156,1840,1202,365,866,714,944
2020-09-07,2020-09-20,168,857,1296,1425,943,10515,2319,1453,1225,3616,3387,2023,1870,1996,2167,1980,1080,316,757,659,945
2020-09-21,2020-10-04,182,701,1082,1121,607,7328,1583,968,133,1836,2609,1585,716,2345,1614,1462,672,137,508,390,535
2020-10-05,2020-10-18,196,611,936,1024,590,3367,1201,743,137,1280,1558,854,513,851,1063,1041,590,160,511,457,529
2020-10-19,2020-11-01,210,612,879,1032,733,1847,926,668,90,1046,1647,996,619,560,1422,1294,691,113,432,377,593
2020-11-02,2020-11-15,224,648,1145,1226,787,6195,1255,869,90,1858,1876,1052,315,604,1620,1550,798,111,378,400,695
2020-11-16,2020-11-29,238,822,998,1072,715,6898,1647,1099,75,1771,1440,879,479,636,965,972,553,144,317,348,523
2020-11-30,2020-12-13,252,681,1101,910,551,6653,1380,859,114,1611,1991,1109,894,591,1585,1394,625,96,467,437,496
2020-12-14,2020-12-27,266,758,1299,1369,807,840,1012,755,135,872,1776,1082,550,834,2273,1919,858,143,469,415,644
2020-12-28,2021-01-10,280,714,1145,1037,643,780,898,598,52,717,1461,800,1429,342,1340,1306,587,57,269,289,445
2021-01-11,2021-01-24,294,549,1083,817,456,581,721,458,33,720,1228,613,300,339,1012,845,632,45,161,189,313
2021-01-25,2021-02-07,308,602,1081,900,433,655,772,473,37,506,1187,562,178,273,1647,1338,912,49,271,202,310
2021-02-08,2021-02-21,322,615,1101,877,470,673,760,501,49,719,1382,732,520,326,827,877,396,52,242,202,362
2021-02-22,2021-03-07,336,558,901,898,539,748,702,474,52,475,903,464,198,237,754,705,374,40,187,182,385
2021-03-08,2021-03-21,350,610,996,973,583,4115,1123,685,76,829,1059,545,191,799,1166,1075,561,97,302,266,392
2021-03-22,2021-04-04,364,567,863,933,597,4994,1490,1030,1070,1600,1491,851,286,820,1313,1185,761,118,259,240,456
2021-04-05,2021-04-18,378,574,884,808,489,1387,837,529,194,619,1398,802,476,461,802,787,610,103,261,246,380
2021-04-19,2021-05-02,392,578,1109,939,550,4531,1266,767,120,1632,1695,980,590,1530,1553,1405,854,278,326,311,372
2021-05-03,2021-05-16,406,710,1059,1173,637,5813,1644,1031,219,1395,1905,1141,633,1139,1472,1430,746,104,424,427,451
2021-05-17,2021-05-30,420,706,1058,1157,710,6011,1742,1083,155,2046,2406,1430,621,828,1323,1214,662,318,493,430,430
2021-05-31,2021-06-13,434,816,1439,1397,687,4129,1657,976,206,1081,2091,1169,623,638,1887,1597,1163,258,545,463,449
2021-06-14,2021-06-27,448,827,841,1255,754,5686,1752,1152,201,498,1361,774,444,2372,3213,2551,2141,338,805,648,1635
2021-06-28,2021-07-11,462,819,1078,1593,988,4334,1541,985,176,1198,1915,1094,666,1388,2717,2486,1373,207,1395,1127,1930
2021-07-12,2021-07-25,476,654,659,1315,922,2087,1091,712,113,333,766,463,272,644,2133,1874,1012,257,1374,1128,1064
2021-07-26,2021-08-08,490,744,899,1336,892,1036,1103,796,254,507,1544,936,325,330,1285,1311,741,285,806,667,888
2021-08-09,2021-08-22,504,724,1703,1421,726,982,1192,820,195,1470,3013,1665,694,902,2620,2228,1093,401,1080,885,1355
2021-08-23,2021-09-05,518,784,1272,1284,647,1669,1265,802,134,1232,2010,1089,608,597,1453,1385,683,139,424,394,549
2021-09-06,2021-09-19,532,655,1167,1141,674,3294,1137,802,147,1334,2148,1266,603,864,1711,1545,526,184,616,561,858
2021-09-20,2021-10-03,546,640,1337,1307,649,3841,1176,797,164,2015,2669,1471,845,770,2865,2378,3033,131,432,416,580
2021-10-04,2021-10-17,560,708,1197,1198,527,5288,1427,1003,199,1679,1974,1223,591,596,1781,1687,1688,185,424,465,438
2021-10-18,2021-10-31,574,894,1343,1185,645,2333,1567,1088,338,1808,3273,1972,1286,770,1559,1502,889,126,574,475,1061
2021-11-01,2021-11-14,588,592,1210,1189,615,2695,1056,767,129,1583,3541,2322,1161,1123,1517,1463,1017,166,700,662,707
2021-11-15,2021-11-28,602,686,1530,1054,515,6501,1788,1285,92,1663,2299,1165,612,673,1054,995,567,171,397,344,569
2021-11-29,2021-12-12,616,767,1220,982,520,4552,1252,1018,130,1067,1687,911,405,573,853,897,576,815,668,528,788
