start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,760,655,420,0,0,0,0,570,986,510,111,361,505,672,185,148,143,165,339
2020-04-06,2020-04-19,14,0,587,706,400,0,0,0,0,497,668,365,69,390,503,567,291,139,159,199,328
2020-04-20,2020-05-03,28,0,498,604,392,0,0,0,0,256,480,280,60,225,368,450,168,106,122,181,296
2020-05-04,2020-05-17,42,629,563,626,407,427,760,620,54,320,540,262,109,222,595,636,262,33,157,192,273
2020-05-18,2020-05-31,56,609,530,626,366,443,752,632,60,336,795,490,238,296,581,638,273,66,188,203,283
2020-06-01,2020-06-14,70,543,524,614,374,499,618,576,83,359,658,377,168,307,503,520,224,51,209,213,319
2020-06-15,2020-06-28,84,466,452,575,401,833,569,458,62,440,832,484,266,221,662,636,372,135,333,294,434
2020-06-29,2020-07-12,98,458,462,559,359,667,528,467,45,575,563,353,632,304,596,536,371,91,276,244,536
2020-07-13,2020-07-26,112,10,394,468,234,6,11,15,2,279,482,287,216,219,594,557,578,33,138,121,165
2020-07-27,2020-08-09,126,586,536,586,346,551,751,636,126,450,1265,835,526,374,1054,876,443,71,245,222,279
2020-08-10,2020-08-23,140,593,1396,1118,686,1525,1293,729,235,1689,4039,2435,1088,905,2158,1905,1061,207,584,533,697
2020-08-24,2020-09-06,154,666,1461,1433,829,1403,1249,781,206,3085,3528,2021,1363,734,2138,1907,1070,380,844,716,1003
2020-09-07,2020-09-20,168,883,1303,1404,945,11201,2377,1457,1197,3719,4001,2397,2226,4025,2592,2299,1165,241,769,662,891
2020-09-21,2020-10-04,182,659,1100,1096,602,5903,1438,866,116,1756,2585,1549,906,2811,1766,1617,860,142,449,368,527
2020-10-05,2020-10-18,196,641,965,989,591,3813,1305,797,157,1164,1639,900,527,998,1080,1086,485,307,525,446,716
2020-10-19,2020-11-01,210,619,913,1003,729,1827,944,678,99,1136,1837,1114,849,769,1484,1342,682,142,476,423,661
2020-11-02,2020-11-15,224,641,1139,1188,822,5819,1252,857,153,2207,1792,1084,449,1272,1754,1592,855,89,418,422,681
2020-11-16,2020-11-29,238,812,1012,1111,670,6710,1649,1056,110,2427,1420,871,566,663,1129,1135,744,121,316,303,480
2020-11-30,2020-12-13,252,698,1073,912,536,5344,1460,877,114,1340,2037,1131,1050,440,1531,1356,636,107,468,393,457
2020-12-14,2020-12-27,266,785,1321,1356,813,948,1065,776,133,1116,2126,1325,739,783,2182,1799,871,132,535,464,660
2020-12-28,2021-01-10,280,708,1092,1048,662,721,887,602,47,656,1393,781,1452,331,1103,1075,495,56,278,287,464
2021-01-11,2021-01-24,294,558,1096,794,470,637,748,446,32,804,1282,670,330,363,981,878,643,59,168,188,297
2021-01-25,2021-02-07,308,568,1094,857,455,619,712,454,37,595,1098,504,154,297,817,829,598,60,309,228,341
2021-02-08,2021-02-21,322,600,1111,884,483,606,760,490,53,748,1232,613,282,269,904,839,479,260,359,294,596
2021-02-22,2021-03-07,336,548,918,876,547,736,690,462,49,517,1005,531,246,265,744,711,342,46,203,150,375
2021-03-08,2021-03-21,350,610,1045,970,522,3186,1090,629,65,2069,1453,802,409,766,1156,1073,747,88,303,292,344
2021-03-22,2021-04-04,364,582,882,909,604,3324,959,648,88,1611,1591,929,350,656,970,938,511,124,280,245,456
2021-04-05,2021-04-18,378,562,898,796,503,1145,851,529,141,625,1385,791,502,636,999,979,678,87,255,253,384
2021-04-19,2021-05-02,392,578,1134,906,561,4275,1250,751,99,1413,1776,990,613,981,1692,1502,1106,435,425,408,593
2021-05-03,2021-05-16,406,711,1054,1180,620,4844,1456,895,128,1619,1953,1178,911,798,1437,1385,789,122,440,402,434
2021-05-17,2021-05-30,420,679,1066,1167,708,5963,1663,1028,140,2097,2424,1447,665,764,1469,1280,703,533,545,476,495
2021-05-31,2021-06-13,434,820,1433,1415,705,4600,1610,998,290,1777,2136,1244,908,1174,2143,1722,1196,245,585,507,537
2021-06-14,2021-06-27,448,805,879,1275,700,5696,1788,1152,215,685,1435,804,420,1969,2563,2082,1117,264,633,533,1439
2021-06-28,2021-07-11,462,837,1076,1643,974,4035,1595,1039,239,800,1664,924,383,1243,2115,2041,1346,229,675,632,947
2021-07-12,2021-07-25,476,694,671,1271,925,2216,1079,745,124,350,861,529,255,677,2186,1898,1131,257,1372,1117,1036
2021-07-26,2021-08-08,490,735,909,1333,894,983,1037,766,179,518,1499,938,377,639,1921,1840,1225,245,663,570,817
2021-08-09,2021-08-22,504,728,1672,1463,719,962,1224,825,216,1620,3271,1859,1023,1021,2697,2304,1169,327,447,472,622
2021-08-23,2021-09-05,518,802,1294,1262,624,1552,1213,773,122,1437,2361,1323,904,998,1647,1501,1275,108,349,348,528
2021-09-06,2021-09-19,532,675,1164,1131,664,3084,1108,804,112,1538,2241,1300,568,1251,1775,1641,663,122,545,489,808
2021-09-20,2021-10-03,546,699,1325,1253,632,5947,1337,801,165,1879,2382,1279,866,650,2652,2350,827,155,396,395,561
2021-10-04,2021-10-17,560,676,1192,1239,516,4421,1280,907,205,2047,2496,1509,690,761,1812,1685,1659,184,342,378,438
2021-10-18,2021-10-31,574,887,1339,1207,659,2670,1352,952,228,1800,3397,2059,1416,714,1760,1590,805,107,586,493,798
2021-11-01,2021-11-14,588,599,1174,1196,608,2496,1049,710,126,1516,3656,2371,1240,1117,1392,1361,1203,130,386,399,616
2021-11-15,2021-11-28,602,652,1527,1044,518,4078,1128,835,71,1374,2340,1218,572,666,977,908,537,160,385,355,623
2021-11-29,2021-12-12,616,767,1284,954,522,3767,1184,928,117,1326,1716,928,330,755,819,864,458,642,891,689,933
2021-12-13,2021-12-26,630,873,1572,1166,573,3372,1382,948,132,1283,2096,1092,626,623,1158,1118,567,245,632,597,718
2021-12-27,2022-01-09,644,880,1919,1388,629,4113,1567,1143,197,3050,3160,1815,1294,628,1317,1311,648,144,449,387,611
2022-01-10,2022-01-23,658,598,1331,1323,616,3491,1146,750,82,1597,1930,1011,668,1093,1411,1386,814,126,488,443,557
2022-01-24,2022-02-06,672,865,1714,1070,627,6871,1565,1086,130,1875,2660,1540,532,497,985,1042,636,223,457,455,560
2022-02-07,2022-02-20,686,636,1369,1085,504,2288,917,713,82,1336,2632,1521,589,1016,1170,1244,660,98,311,321,457
2022-02-21,2022-03-06,700,537,961,593,264,4126,1025,744,146,759,2225,1313,471,246,545,575,365,95,167,171,226
