start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,778,663,420,0,0,0,0,643,1056,504,111,384,523,634,182,179,145,158,362
2020-04-06,2020-04-19,14,0,599,688,390,0,0,0,0,509,622,319,74,354,511,598,234,153,156,171,323
2020-04-20,2020-05-03,28,0,526,595,386,0,0,0,0,268,501,300,75,217,359,432,155,90,124,163,283
2020-05-04,2020-05-17,42,581,559,635,421,391,698,590,50,315,521,264,100,235,598,601,241,39,164,176,291
2020-05-18,2020-05-31,56,586,578,618,380,396,679,613,51,371,858,521,277,257,641,644,423,65,165,213,273
2020-06-01,2020-06-14,70,568,478,650,359,473,695,582,55,500,866,567,257,317,507,510,245,61,211,207,281
2020-06-15,2020-06-28,84,463,477,593,372,636,585,485,42,444,899,565,345,208,667,617,383,102,199,196,314
2020-06-29,2020-07-12,98,440,480,557,376,601,486,408,33,307,765,448,211,279,646,595,473,104,218,205,493
2020-07-13,2020-07-26,112,16,366,472,242,22,20,24,2,231,466,260,163,218,491,472,345,47,129,112,168
2020-07-27,2020-08-09,126,594,531,580,335,646,803,681,146,488,1328,837,689,335,1004,814,366,86,222,239,335
2020-08-10,2020-08-23,140,600,1400,1169,715,1655,1218,734,170,1333,4014,2327,1120,878,2081,1966,1079,234,636,540,766
2020-08-24,2020-09-06,154,669,1484,1421,797,1312,1091,718,190,3239,3504,1965,1105,554,1957,1839,1049,367,899,739,890
2020-09-07,2020-09-20,168,880,1321,1402,955,11540,2470,1525,1198,3688,3822,2278,2074,4051,2370,2128,1032,230,765,629,1055
2020-09-21,2020-10-04,182,701,1094,1100,625,6909,1602,973,130,1484,2713,1595,910,2685,1569,1480,771,136,515,444,560
2020-10-05,2020-10-18,196,623,952,1019,595,3435,1238,750,120,969,1536,790,339,1235,1210,1137,486,136,482,473,624
2020-10-19,2020-11-01,210,600,886,1024,756,1479,882,626,74,1041,1698,1026,715,537,2883,2435,803,132,507,461,650
2020-11-02,2020-11-15,224,669,1124,1186,795,4772,1235,877,95,1049,1733,991,396,539,1488,1422,716,116,489,466,773
2020-11-16,2020-11-29,238,813,1004,1087,704,6607,1588,1070,96,1015,1299,752,414,661,1113,1071,697,162,320,312,534
2020-11-30,2020-12-13,252,678,1094,896,549,5340,1463,827,105,1344,2143,1228,998,387,1380,1223,572,94,414,357,445
2020-12-14,2020-12-27,266,751,1337,1361,806,939,1042,712,110,982,1942,1182,645,685,2168,1828,848,151,586,474,628
2020-12-28,2021-01-10,280,700,1080,1046,671,684,837,612,50,629,1391,786,639,297,1158,1150,524,65,234,253,457
2021-01-11,2021-01-24,294,580,1097,801,444,562,760,475,33,687,1211,609,306,354,991,820,617,37,165,201,324
2021-01-25,2021-02-07,308,603,1055,852,440,703,802,465,40,510,1037,498,138,328,1794,1451,613,61,293,229,346
2021-02-08,2021-02-21,322,617,1096,852,460,794,810,500,50,791,1393,739,516,335,922,881,606,246,354,283,531
2021-02-22,2021-03-07,336,505,926,914,527,681,622,442,39,486,979,482,192,294,770,750,414,40,181,186,382
2021-03-08,2021-03-21,350,611,1050,965,532,3830,1139,675,66,1830,1284,694,287,802,1426,1239,845,78,217,207,352
2021-03-22,2021-04-04,364,587,875,910,602,5108,1510,1076,1086,1619,1404,815,275,575,1211,1096,734,104,276,230,444
2021-04-05,2021-04-18,378,580,883,818,507,1400,922,621,263,598,1283,691,418,537,1334,1131,551,105,276,274,382
2021-04-19,2021-05-02,392,588,1112,897,546,4730,1294,755,99,1385,1605,898,428,1470,1856,1571,1145,176,331,303,380
2021-05-03,2021-05-16,406,702,1026,1201,606,5232,1595,1010,227,1486,1780,1053,708,869,1420,1426,722,95,431,439,457
2021-05-17,2021-05-30,420,704,1070,1158,700,6272,1718,1106,133,1283,1982,1128,540,634,1421,1284,688,265,489,443,486
2021-05-31,2021-06-13,434,826,1459,1377,682,4706,1657,977,207,1955,2320,1387,845,1086,2099,1665,1257,281,573,518,493
2021-06-14,2021-06-27,448,835,871,1273,738,5762,1846,1181,204,581,1379,763,493,2255,3026,2360,1955,212,836,688,1736
2021-06-28,2021-07-11,462,790,1071,1641,962,3840,1518,946,178,1179,1895,1055,590,1830,2131,2056,1260,1687,956,791,918
2021-07-12,2021-07-25,476,686,638,1308,932,2330,1077,763,108,330,810,468,207,835,1854,1667,912,224,1447,1180,1098
