start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,763,660,402,0,0,0,0,635,1011,475,112,327,491,656,202,179,127,152,329
2020-04-06,2020-04-19,14,0,593,697,390,0,0,0,0,445,640,322,78,356,474,584,256,134,140,175,310
2020-04-20,2020-05-03,28,0,495,617,406,0,0,0,0,245,490,291,66,263,374,447,186,106,134,174,295
2020-05-04,2020-05-17,42,581,562,648,421,396,723,587,47,301,487,230,61,246,749,766,433,31,148,160,267
2020-05-18,2020-05-31,56,581,533,620,381,439,682,586,78,412,822,514,278,269,599,596,262,65,147,191,256
2020-06-01,2020-06-14,70,541,519,632,371,493,656,548,70,481,975,612,312,278,524,543,207,55,187,201,306
2020-06-15,2020-06-28,84,471,468,571,388,600,580,480,75,395,963,646,371,213,444,496,212,100,191,175,313
2020-06-29,2020-07-12,98,436,460,571,362,567,521,462,43,292,526,306,164,259,635,585,451,108,318,291,550
2020-07-13,2020-07-26,112,11,367,477,240,4,11,11,0,245,538,303,245,235,946,763,619,36,119,133,174
2020-07-27,2020-08-09,126,610,540,588,367,732,877,737,148,456,1391,889,330,326,836,703,326,91,263,250,348
2020-08-10,2020-08-23,140,604,1411,1117,699,1747,1187,656,259,1876,4094,2529,1143,622,1977,1801,933,235,637,595,722
2020-08-24,2020-09-06,154,665,1485,1445,803,1267,1228,782,222,3115,3113,1739,1256,848,2647,2261,1357,334,924,755,895
2020-09-07,2020-09-20,168,910,1259,1439,921,13837,2554,1532,1195,3013,3195,1869,1723,1765,2422,2255,1060,244,678,565,1090
2020-09-21,2020-10-04,182,678,1099,1086,604,6027,1479,880,123,1983,2747,1661,854,1888,1706,1509,815,109,481,392,509
