start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,739,686,418,0,0,0,0,567,1023,500,118,407,482,679,213,185,146,154,345
2020-04-06,2020-04-19,14,0,611,702,397,0,0,0,0,433,655,332,79,387,524,609,262,133,160,182,348
2020-04-20,2020-05-03,28,0,497,629,396,0,0,0,0,266,460,282,62,221,389,488,177,86,116,162,301
2020-05-04,2020-05-17,42,655,529,647,420,471,828,686,63,311,501,244,110,228,571,612,259,31,146,177,301
2020-05-18,2020-05-31,56,600,524,615,386,425,749,618,71,357,737,430,158,267,596,660,301,72,156,193,279
2020-06-01,2020-06-14,70,554,492,640,358,544,662,580,96,282,614,335,146,307,534,536,257,44,167,190,281
2020-06-15,2020-06-28,84,442,495,612,367,940,547,466,68,566,1171,725,498,243,583,587,337,101,214,199,343
2020-06-29,2020-07-12,98,449,467,554,369,626,549,437,36,608,721,469,712,276,638,596,473,49,261,260,345
2020-07-13,2020-07-26,112,15,363,468,227,17,20,21,2,217,443,273,173,214,807,690,354,34,108,123,171
2020-07-27,2020-08-09,126,589,544,600,330,627,810,639,131,489,1393,898,631,328,878,795,368,98,209,222,270
2020-08-10,2020-08-23,140,600,1377,1161,702,1713,1330,736,308,1558,4046,2413,1150,856,2147,1968,996,240,648,580,716
2020-08-24,2020-09-06,154,682,1439,1415,848,1284,1102,753,173,3463,3340,1932,1319,830,2337,2034,1198,394,1013,841,1016
2020-09-07,2020-09-20,168,886,1296,1439,945,12184,2393,1447,1212,3532,3959,2424,1101,1956,2269,2059,1116,279,790,666,973
2020-09-21,2020-10-04,182,660,1111,1097,618,5519,1419,830,116,1902,2945,1848,1018,1182,1673,1492,725,121,482,413,523
2020-10-05,2020-10-18,196,631,954,1036,600,3792,1267,799,115,1232,1663,926,473,1106,1136,1131,549,256,552,461,775
2020-10-19,2020-11-01,210,612,899,1053,727,1780,965,647,85,1084,1598,942,517,661,3121,2576,971,120,453,386,590
2020-11-02,2020-11-15,224,667,1110,1231,815,6213,1294,918,162,1118,1710,1001,376,1144,1716,1640,995,119,581,535,755
2020-11-16,2020-11-29,238,798,1020,1063,708,6738,1560,1032,96,2208,1326,747,305,507,982,1000,480,137,339,328,501
2020-11-30,2020-12-13,252,673,1083,897,576,5157,1365,779,92,1705,2048,1158,989,451,1366,1184,501,94,410,396,462
2020-12-14,2020-12-27,266,725,1322,1380,803,938,1001,702,104,1108,1795,1018,564,771,2175,1837,919,126,569,480,668
2020-12-28,2021-01-10,280,710,1084,1078,651,670,848,611,64,792,1463,821,1482,315,1082,1106,523,61,292,285,434
2021-01-11,2021-01-24,294,550,1082,814,470,544,709,443,34,607,1241,630,291,332,1122,975,777,55,176,214,344
2021-01-25,2021-02-07,308,587,1061,892,454,701,781,483,26,567,1110,474,150,323,1712,1389,428,47,267,198,334
2021-02-08,2021-02-21,322,611,1066,849,493,674,789,487,39,673,1421,721,449,322,768,816,535,261,376,312,580
2021-02-22,2021-03-07,336,544,891,926,530,741,693,464,51,456,915,455,205,287,771,730,407,43,161,154,393
2021-03-08,2021-03-21,350,615,1000,994,575,3934,1124,694,66,1960,1407,778,490,674,1160,1081,728,69,329,296,388
