start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,766,693,409,0,0,0,0,618,1027,476,98,407,502,672,198,186,131,159,324
2020-04-06,2020-04-19,14,0,596,696,394,0,0,0,0,446,644,330,70,334,503,627,249,146,168,190,324
2020-04-20,2020-05-03,28,0,504,613,398,0,0,0,0,264,492,286,79,239,380,451,190,109,138,169,298
2020-05-04,2020-05-17,42,603,546,644,423,400,769,621,53,322,463,237,58,232,776,783,446,29,140,151,294
2020-05-18,2020-05-31,56,604,545,591,378,452,726,600,77,380,738,430,224,227,785,773,509,71,154,191,283
2020-06-01,2020-06-14,70,542,492,637,358,567,650,574,84,449,922,570,278,310,531,537,223,63,210,208,314
2020-06-15,2020-06-28,84,435,468,583,389,928,535,461,72,574,1143,679,394,200,645,597,415,128,319,290,422
2020-06-29,2020-07-12,98,441,478,566,354,587,507,385,46,320,765,460,216,226,511,508,279,99,323,278,543
2020-07-13,2020-07-26,112,12,361,488,236,16,9,16,0,227,501,299,197,277,968,792,604,36,109,103,172
2020-07-27,2020-08-09,126,602,534,595,354,679,778,676,139,389,1020,611,268,293,841,680,304,88,249,239,308
2020-08-10,2020-08-23,140,598,1424,1122,705,1424,1231,673,275,1390,4143,2440,1115,695,2162,1923,991,207,572,562,692
2020-08-24,2020-09-06,154,658,1498,1396,823,1278,1153,775,203,1713,3344,1891,1003,714,2330,2037,1283,254,850,735,822
2020-09-07,2020-09-20,168,872,1302,1404,969,13785,2466,1426,173,2607,3264,1893,1898,4475,2334,2122,1032,270,851,715,1138
2020-09-21,2020-10-04,182,687,1081,1143,619,7021,1625,1006,123,1773,2487,1466,779,2572,1425,1374,682,148,493,425,569
2020-10-05,2020-10-18,196,619,958,1020,604,3593,1259,823,152,1042,1529,837,422,1259,1107,1158,660,269,656,575,800
2020-10-19,2020-11-01,210,613,897,1041,714,1569,891,664,88,1190,1928,1145,863,791,3184,2626,917,107,437,389,547
2020-11-02,2020-11-15,224,636,1121,1245,777,5809,1179,835,154,1168,1535,886,323,846,1795,1654,841,124,576,541,802
2020-11-16,2020-11-29,238,793,983,1093,705,6209,1551,1011,87,2772,1482,924,597,814,1089,1103,687,152,354,361,530
2020-11-30,2020-12-13,252,696,1081,885,552,6715,1467,828,84,1227,1974,1158,883,387,1424,1265,599,76,364,339,418
2020-12-14,2020-12-27,266,757,1319,1346,825,1006,1032,725,128,1174,2091,1231,689,456,1563,1388,655,136,589,525,704
2020-12-28,2021-01-10,280,696,1088,1037,687,643,824,610,50,781,1389,812,1408,306,1008,1041,407,63,258,290,445
2021-01-11,2021-01-24,294,545,1092,819,466,589,704,465,25,636,1213,623,358,349,965,844,612,47,150,211,317
2021-01-25,2021-02-07,308,588,1066,882,445,616,755,457,32,560,1128,527,160,323,827,830,1016,62,283,232,331
2021-02-08,2021-02-21,322,597,1091,896,468,642,759,465,47,569,1249,621,409,357,960,949,643,261,380,292,583
2021-02-22,2021-03-07,336,536,905,927,549,716,704,478,48,467,914,456,204,290,699,682,314,48,184,200,416
2021-03-08,2021-03-21,350,614,1004,954,547,3953,1169,650,76,2082,1350,732,365,665,1430,1234,706,102,310,292,355
2021-03-22,2021-04-04,364,601,859,944,601,3294,1004,709,86,686,1386,839,310,525,1056,1021,517,99,273,243,420
2021-04-05,2021-04-18,378,548,845,815,531,1328,835,526,183,614,1226,705,389,720,1116,986,681,104,282,250,421
