start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,759,669,398,0,0,0,0,645,1000,483,109,387,488,676,223,174,136,141,347
2020-04-06,2020-04-19,14,0,614,702,389,0,0,0,0,499,662,318,82,349,497,623,249,138,149,175,316
2020-04-20,2020-05-03,28,0,512,594,400,0,0,0,0,269,491,303,63,193,374,450,184,104,139,174,301
2020-05-04,2020-05-17,42,618,541,640,422,426,763,612,49,294,480,247,58,222,755,762,447,30,150,175,265
2020-05-18,2020-05-31,56,600,532,617,371,405,690,642,58,357,846,532,289,267,653,670,289,58,163,205,287
2020-06-01,2020-06-14,70,584,503,631,344,543,705,608,95,505,996,601,300,349,557,553,265,54,199,202,308
2020-06-15,2020-06-28,84,466,454,602,385,531,596,462,48,440,918,576,270,245,637,571,378,88,228,220,354
2020-06-29,2020-07-12,98,450,460,551,357,628,539,428,46,325,747,465,198,281,609,553,346,90,270,239,537
2020-07-13,2020-07-26,112,14,369,467,245,18,14,18,0,231,510,322,183,208,825,697,358,30,129,122,177
2020-07-27,2020-08-09,126,608,532,572,338,709,855,709,146,512,1382,896,701,330,980,826,421,85,209,218,293
2020-08-10,2020-08-23,140,604,1403,1122,693,1661,1242,663,264,1228,3812,2205,1092,765,2088,1908,937,247,608,545,768
2020-08-24,2020-09-06,154,650,1451,1432,818,1224,1153,742,210,3547,3673,2053,1379,838,2530,2177,1333,256,772,650,823
2020-09-07,2020-09-20,168,891,1283,1437,955,14220,2542,1543,1233,3153,3835,2321,2191,3793,2341,2142,1173,208,766,655,900
2020-09-21,2020-10-04,182,684,1096,1092,603,6815,1559,917,119,1791,2454,1460,760,1657,1623,1418,689,116,472,371,540
2020-10-05,2020-10-18,196,593,954,1003,628,3147,1177,736,104,1062,1572,846,462,1330,1137,1102,655,227,609,544,726
2020-10-19,2020-11-01,210,599,886,1046,737,1614,925,652,89,1026,1769,1013,838,647,3258,2652,918,119,454,409,597
2020-11-02,2020-11-15,224,661,1116,1209,845,4781,1205,855,95,1021,1690,1006,396,986,1752,1614,916,117,584,534,748
2020-11-16,2020-11-29,238,788,1025,1130,693,5813,1548,1002,78,2836,1467,923,624,398,948,1026,600,158,333,347,511
2020-11-30,2020-12-13,252,686,1044,898,554,5120,1428,878,107,1552,2048,1188,938,444,1565,1316,575,126,474,418,485
2020-12-14,2020-12-27,266,731,1348,1336,785,839,958,671,97,993,2059,1223,611,618,1964,1706,803,109,547,467,616
2020-12-28,2021-01-10,280,708,1062,1066,679,712,893,591,42,799,1370,749,1397,313,1220,1176,532,53,277,282,463
2021-01-11,2021-01-24,294,580,1087,803,453,604,785,449,34,742,1264,618,321,295,776,737,480,42,153,201,322
2021-01-25,2021-02-07,308,596,1055,886,448,643,770,485,38,521,981,432,151,278,1625,1340,407,58,204,176,306
2021-02-08,2021-02-21,322,590,1091,873,461,716,744,503,53,735,1303,708,486,350,893,890,616,251,375,294,583
2021-02-22,2021-03-07,336,528,908,909,539,603,661,459,48,510,952,495,222,254,708,687,390,40,194,177,382
2021-03-08,2021-03-21,350,618,1027,970,544,3480,1107,663,68,1283,1265,692,469,424,1193,1112,530,93,285,256,369
2021-03-22,2021-04-04,364,565,874,933,614,4456,1481,1019,1080,1532,1425,821,277,536,1192,1128,763,93,268,233,422
2021-04-05,2021-04-18,378,572,874,797,511,1159,934,599,260,413,1028,556,245,483,1318,1179,530,94,227,226,336
2021-04-19,2021-05-02,392,529,1148,912,533,4001,1078,660,99,1134,1607,857,501,1100,1298,1159,598,449,462,417,589
2021-05-03,2021-05-16,406,706,1060,1145,644,4835,1421,891,115,1461,1811,1026,677,1000,1522,1422,665,111,480,453,441
2021-05-17,2021-05-30,420,686,1039,1187,717,6093,1592,977,135,2003,1952,1090,377,733,1564,1391,799,541,611,514,515
2021-05-31,2021-06-13,434,831,1442,1412,673,4758,1656,1008,227,1192,2176,1222,696,909,2054,1686,1192,306,584,525,539
2021-06-14,2021-06-27,448,822,844,1264,775,5481,1822,1143,215,656,1553,887,554,2968,3182,2514,2039,229,773,635,1591
2021-06-28,2021-07-11,462,803,1077,1587,981,4118,1496,939,223,839,1904,1107,588,1562,2320,2228,1251,1696,1029,851,996
2021-07-12,2021-07-25,476,680,654,1303,932,2125,1080,755,116,320,846,491,261,884,2217,1965,1310,232,1416,1179,1058
2021-07-26,2021-08-08,490,747,895,1347,886,1098,1105,826,244,549,1512,908,343,590,1683,1683,1124,291,729,626,858
2021-08-09,2021-08-22,504,717,1651,1431,708,1008,1245,855,283,1416,3121,1668,777,908,2655,2237,1121,397,1085,913,1365
2021-08-23,2021-09-05,518,774,1262,1308,653,1947,1292,803,166,1415,2240,1196,654,969,1918,1681,1251,123,369,376,521
2021-09-06,2021-09-19,532,665,1169,1143,668,3443,1098,782,152,1595,2240,1256,588,1245,1351,1278,602,155,532,479,713
2021-09-20,2021-10-03,546,652,1300,1279,692,5515,1247,816,162,2476,2510,1372,1067,586,2662,2221,2904,188,496,484,715
2021-10-04,2021-10-17,560,667,1199,1221,536,5145,1302,956,223,2014,2603,1594,704,664,1352,1304,921,197,452,471,520
2021-10-18,2021-10-31,574,889,1280,1190,658,2585,1438,1091,322,1646,3255,1951,1160,539,1941,1795,756,1125,1105,856,1323
2021-11-01,2021-11-14,588,630,1167,1191,586,2697,1070,753,139,1429,3286,2088,1022,1013,1186,1235,637,162,471,470,739
2021-11-15,2021-11-28,602,668,1567,1066,513,6210,1816,1311,91,1101,2027,965,483,463,1018,985,519,102,321,296,673
2021-11-29,2021-12-12,616,778,1225,1000,500,7171,2268,1784,100,1446,1673,875,370,615,897,944,469,884,1176,893,1256
2021-12-13,2021-12-26,630,889,1596,1182,558,2085,1329,948,179,1444,2200,1188,602,996,1296,1232,655,221,650,617,642
2021-12-27,2022-01-09,644,894,1842,1406,623,6601,3201,2346,161,2890,2880,1661,1252,788,1758,1569,747,104,361,339,570
2022-01-10,2022-01-23,658,608,1346,1353,604,3626,1166,774,87,1848,2058,1139,578,1163,1376,1396,759,101,366,354,481
2022-01-24,2022-02-06,672,880,1692,1072,601,6062,1524,1078,136,2112,2827,1578,597,860,999,1078,630,3082,2338,1767,3655
2022-02-07,2022-02-20,686,647,1306,1033,533,2604,932,800,84,938,2474,1374,588,906,1167,1213,623,111,337,332,430
2022-02-21,2022-03-06,700,532,991,588,254,2989,914,737,141,944,2176,1306,443,187,505,548,307,45,141,159,209
