start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,774,665,418,0,0,0,0,595,1043,519,104,399,485,626,215,147,133,150,338
2020-04-06,2020-04-19,14,0,605,689,406,0,0,0,0,483,609,331,77,370,496,580,271,136,170,176,341
2020-04-20,2020-05-03,28,0,505,600,405,0,0,0,0,266,519,314,74,210,358,457,179,106,118,172,314
2020-05-04,2020-05-17,42,625,562,653,397,412,783,648,60,315,543,287,110,243,614,662,247,28,165,175,275
2020-05-18,2020-05-31,56,614,521,610,376,502,770,632,77,380,801,494,260,255,841,805,534,71,171,204,285
2020-06-01,2020-06-14,70,550,517,627,346,552,632,577,91,506,966,574,312,336,526,539,258,50,167,181,292
2020-06-15,2020-06-28,84,460,466,570,407,640,555,445,81,541,1182,729,490,192,520,537,258,127,313,267,440
2020-06-29,2020-07-12,98,444,456,555,380,514,498,441,41,567,547,315,600,273,662,597,465,102,295,250,523
2020-07-13,2020-07-26,112,15,368,482,235,10,19,17,2,216,480,305,221,283,1038,876,697,39,123,114,167
2020-07-27,2020-08-09,126,586,563,571,344,676,739,672,109,508,1385,898,754,286,846,721,331,66,222,229,283
2020-08-10,2020-08-23,140,613,1410,1143,684,1820,1393,795,310,1789,3967,2399,1080,875,2204,2015,1075,193,601,547,681
2020-08-24,2020-09-06,154,684,1505,1415,798,1295,1176,731,192,1571,3295,1837,1079,840,2346,2052,1274,287,864,701,879
2020-09-07,2020-09-20,168,872,1311,1388,954,13049,2282,1367,219,3679,3227,1923,1838,2350,2428,2151,1105,295,829,695,1146
2020-09-21,2020-10-04,182,698,1087,1087,605,7287,1575,984,146,1597,2465,1473,798,2149,1491,1373,681,112,505,424,602
2020-10-05,2020-10-18,196,629,945,1040,605,3455,1237,792,120,1054,1493,831,381,965,1125,1094,584,310,583,501,776
2020-10-19,2020-11-01,210,616,924,1027,720,1662,916,672,74,1113,1684,981,542,716,3154,2559,800,137,469,423,675
2020-11-02,2020-11-15,224,638,1101,1227,811,6107,1210,868,89,2405,1938,1157,446,706,1370,1349,590,148,551,505,902
2020-11-16,2020-11-29,238,764,1014,1092,673,5586,1460,945,88,2900,1415,865,487,682,1032,1089,666,158,355,352,504
