start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,745,661,422,0,0,0,0,568,980,466,108,385,433,635,197,187,134,158,362
2020-04-06,2020-04-19,14,0,574,691,394,0,0,0,0,388,605,314,81,382,491,586,238,149,154,190,306
2020-04-20,2020-05-03,28,0,502,597,411,0,0,0,0,249,456,273,66,227,369,435,175,104,142,168,299
2020-05-04,2020-05-17,42,639,530,658,425,440,783,657,53,276,459,214,62,234,713,783,452,35,134,167,277
2020-05-18,2020-05-31,56,597,561,614,361,456,732,636,88,446,762,454,190,255,819,800,524,66,169,192,287
2020-06-01,2020-06-14,70,556,506,645,353,566,661,576,90,467,891,547,216,315,494,525,214,59,182,221,318
2020-06-15,2020-06-28,84,453,482,579,382,890,540,423,46,409,875,484,342,268,610,594,371,118,264,236,374
2020-06-29,2020-07-12,98,447,449,562,372,636,538,471,65,664,839,542,676,297,636,648,492,64,246,232,395
2020-07-13,2020-07-26,112,10,355,476,236,10,10,17,2,183,374,220,140,172,524,491,358,33,129,131,167
2020-07-27,2020-08-09,126,602,539,586,360,695,843,667,136,484,1379,881,660,311,793,679,388,83,210,234,286
2020-08-10,2020-08-23,140,600,1416,1110,694,1380,1214,673,302,1469,4078,2388,1211,807,2006,1795,972,213,653,565,679
2020-08-24,2020-09-06,154,670,1480,1437,841,1247,1076,708,166,3198,3718,2176,1481,798,2516,2221,1252,230,633,552,780
2020-09-07,2020-09-20,168,880,1285,1441,959,11144,2317,1427,228,2490,4297,2629,1242,2130,2079,1957,1020,299,890,728,1189
2020-09-21,2020-10-04,182,680,1080,1092,620,6849,1538,997,129,2084,2972,1871,979,1516,1462,1384,638,122,464,399,534
2020-10-05,2020-10-18,196,620,927,1018,611,3746,1249,793,120,1104,1441,788,289,660,1066,1013,496,264,502,441,647
2020-10-19,2020-11-01,210,613,897,1037,728,1542,893,636,74,1326,1819,1082,746,647,3225,2616,1008,121,481,431,640
2020-11-02,2020-11-15,224,643,1105,1228,832,5049,1257,893,163,2076,1785,1019,324,1335,1672,1549,810,114,398,419,776
2020-11-16,2020-11-29,238,787,990,1082,706,6816,1547,1032,83,2450,1169,673,344,566,1015,1039,589,181,313,334,484
2020-11-30,2020-12-13,252,710,1068,878,560,6896,1501,848,128,1239,2208,1303,791,426,1548,1350,614,107,517,460,498
