start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,772,684,392,0,0,0,0,650,1022,495,109,391,455,630,205,183,140,143,328
2020-04-06,2020-04-19,14,0,590,722,392,0,0,0,0,478,658,337,73,390,544,667,293,141,153,193,334
2020-04-20,2020-05-03,28,0,521,585,403,0,0,0,0,272,520,297,74,219,358,440,177,82,122,194,292
2020-05-04,2020-05-17,42,627,555,622,414,439,792,644,47,312,477,225,63,215,742,761,445,33,128,159,275
2020-05-18,2020-05-31,56,608,536,618,363,448,765,635,68,375,737,477,247,239,779,761,514,70,164,202,289
2020-06-01,2020-06-14,70,553,486,615,350,532,693,545,84,331,666,341,149,295,521,528,209,54,219,219,291
2020-06-15,2020-06-28,84,447,482,592,387,814,548,470,49,600,1264,787,480,238,603,590,391,102,241,219,368
2020-06-29,2020-07-12,98,443,489,543,373,548,508,414,44,359,760,456,195,266,588,577,401,93,252,248,517
2020-07-13,2020-07-26,112,14,368,469,248,12,21,22,0,216,497,311,187,197,641,560,581,48,137,139,186
2020-07-27,2020-08-09,126,599,546,591,353,589,791,642,120,479,1373,866,545,315,967,796,386,65,201,210,305
2020-08-10,2020-08-23,140,598,1393,1179,689,1492,1215,686,175,1669,3909,2291,1097,926,2239,1995,1046,225,673,574,648
2020-08-24,2020-09-06,154,656,1495,1449,796,1108,1149,769,181,3212,3275,1823,1338,746,2576,2185,1309,244,880,762,901
2020-09-07,2020-09-20,168,898,1276,1389,929,12299,2389,1494,205,3079,3097,1827,803,1819,2133,2026,1043,246,807,660,1106
2020-09-21,2020-10-04,182,695,1101,1096,598,5545,1474,905,132,1879,2827,1753,959,1697,1430,1380,670,131,554,418,540
2020-10-05,2020-10-18,196,608,950,1045,607,3564,1272,795,136,1293,1743,920,551,1131,1155,1111,489,276,577,489,739
