start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,752,676,440,0,0,0,0,605,952,471,96,379,504,678,191,192,144,165,381
2020-04-06,2020-04-19,14,0,606,674,391,0,0,0,0,458,651,333,79,363,492,597,226,135,149,181,320
2020-04-20,2020-05-03,28,0,508,612,394,0,0,0,0,268,468,276,68,237,385,448,178,99,110,176,292
2020-05-04,2020-05-17,42,613,543,658,430,383,755,633,59,303,498,269,105,217,758,788,447,35,147,166,294
2020-05-18,2020-05-31,56,578,533,630,369,452,744,588,80,360,706,403,183,247,806,805,523,77,184,193,279
2020-06-01,2020-06-14,70,559,491,640,366,527,659,593,78,466,885,586,279,299,530,536,247,46,176,219,291
2020-06-15,2020-06-28,84,460,483,565,372,847,574,450,70,503,1209,767,516,201,597,577,400,86,246,235,362
2020-06-29,2020-07-12,98,451,461,551,387,546,510,463,38,542,573,335,611,278,516,512,291,54,253,261,358
2020-07-13,2020-07-26,112,16,385,459,243,20,23,24,2,269,491,271,156,159,524,453,519,30,128,111,181
2020-07-27,2020-08-09,126,581,567,570,323,683,796,644,123,500,1488,938,528,291,813,693,311,80,204,218,281
2020-08-10,2020-08-23,140,608,1393,1160,715,1427,1237,710,180,1865,4265,2615,1239,847,2096,1902,1010,241,654,571,741
2020-08-24,2020-09-06,154,636,1503,1404,828,1147,1079,738,195,3548,3680,2105,1292,627,2321,2061,1198,230,793,633,825
2020-09-07,2020-09-20,168,886,1274,1387,926,12969,2447,1521,1194,2769,3898,2357,1089,1876,2500,2254,1165,302,731,607,1056
2020-09-21,2020-10-04,182,665,1083,1105,639,6335,1437,901,117,1456,2540,1510,794,1596,1463,1376,705,152,574,464,611
2020-10-05,2020-10-18,196,626,966,1008,604,3391,1240,827,139,971,1595,822,456,1109,1083,1076,569,288,581,506,701
2020-10-19,2020-11-01,210,596,913,1060,695,1706,884,644,71,1462,1714,974,578,577,3179,2583,950,137,448,410,665
2020-11-02,2020-11-15,224,670,1120,1216,782,6172,1290,885,161,747,1633,899,437,1004,1616,1533,907,91,493,463,620
2020-11-16,2020-11-29,238,814,1004,1060,697,6912,1634,1097,83,1559,1340,740,324,876,1074,1100,625,90,284,300,502
2020-11-30,2020-12-13,252,696,1037,871,548,4711,1394,803,102,1395,2059,1224,976,506,1220,1114,628,107,462,399,461
2020-12-14,2020-12-27,266,745,1311,1400,813,1040,1034,706,121,1137,2037,1272,695,758,1988,1689,795,136,528,463,669
2020-12-28,2021-01-10,280,711,1105,1027,686,749,866,601,44,789,1498,877,1460,273,1089,1097,521,70,315,306,494
2021-01-11,2021-01-24,294,580,1076,795,441,557,740,470,24,641,1156,570,326,259,800,733,441,47,170,210,331
2021-01-25,2021-02-07,308,560,1041,877,434,605,744,454,37,497,1103,506,140,310,1748,1379,519,65,256,199,324
2021-02-08,2021-02-21,322,581,1105,876,457,653,733,493,59,793,1353,698,538,354,979,944,508,246,355,304,560
2021-02-22,2021-03-07,336,535,893,906,543,750,651,488,42,421,940,500,229,311,731,726,385,48,186,179,395
2021-03-08,2021-03-21,350,601,1040,957,553,3991,1132,668,76,1030,1243,686,481,816,1032,1005,469,81,293,273,368
2021-03-22,2021-04-04,364,597,855,914,605,4647,1498,1032,1069,1589,1286,678,367,412,944,916,445,98,246,228,453
2021-04-05,2021-04-18,378,546,888,792,506,1314,820,559,246,554,1196,665,349,463,892,853,701,89,252,245,404
2021-04-19,2021-05-02,392,584,1142,896,561,4328,1289,760,96,1235,1592,881,476,1362,1544,1373,1039,450,444,414,608
2021-05-03,2021-05-16,406,666,1055,1166,641,4224,1332,798,110,1039,1974,1170,724,968,1343,1268,627,112,343,345,430
2021-05-17,2021-05-30,420,657,1070,1200,707,5512,1591,1010,165,1448,1943,1106,474,866,1426,1289,762,290,526,456,532
2021-05-31,2021-06-13,434,792,1418,1437,700,4261,1601,976,271,1522,2248,1323,827,944,2012,1665,1012,328,634,539,547
2021-06-14,2021-06-27,448,812,833,1231,769,5459,1790,1150,176,640,1346,766,518,2763,2413,1940,2029,292,677,558,1496
2021-06-28,2021-07-11,462,815,1063,1589,1000,4308,1520,989,211,1103,1707,998,523,1706,2461,2244,1083,272,892,752,1021
2021-07-12,2021-07-25,476,666,670,1323,938,2129,1072,712,123,346,729,430,241,642,1395,1370,991,231,1400,1156,1054
2021-07-26,2021-08-08,490,735,906,1339,876,1007,1054,812,249,552,1546,943,393,610,1889,1774,1138,346,757,665,892
2021-08-09,2021-08-22,504,723,1693,1444,719,996,1312,871,211,1475,3188,1797,829,1098,2949,2513,1333,226,483,466,661
2021-08-23,2021-09-05,518,784,1308,1277,645,1601,1266,796,129,1341,2213,1231,613,877,1663,1509,1344,115,409,401,573
2021-09-06,2021-09-19,532,650,1155,1150,669,2869,1056,740,146,1116,2184,1208,617,1357,1340,1243,670,204,583,525,799
2021-09-20,2021-10-03,546,647,1333,1274,682,5442,1190,814,116,2048,2469,1325,694,524,3834,3043,2892,197,497,460,671
2021-10-04,2021-10-17,560,684,1183,1227,518,4342,1344,955,194,1954,2142,1241,511,623,1165,1178,657,178,347,382,480
2021-10-18,2021-10-31,574,914,1288,1181,661,2871,1490,1131,262,1264,2206,1236,581,567,1249,1146,663,1131,1060,825,1708
2021-11-01,2021-11-14,588,604,1188,1208,638,2844,1075,747,129,1036,1787,962,395,1200,1562,1497,1154,132,478,490,580
2021-11-15,2021-11-28,602,687,1509,1062,531,5706,1734,1293,95,1308,2393,1307,554,721,1151,1056,623,161,428,386,749
2021-11-29,2021-12-12,616,733,1221,1009,516,8008,2266,1820,110,1475,1875,1025,468,755,909,920,561,706,385,325,417
2021-12-13,2021-12-26,630,883,1556,1158,587,2269,1432,1026,183,1432,2224,1250,678,540,1158,1144,584,239,639,563,719
2021-12-27,2022-01-09,644,846,1902,1357,624,5370,2915,2184,145,1646,2963,1705,1161,661,1471,1363,588,129,402,375,504
2022-01-10,2022-01-23,658,584,1326,1365,612,3654,1155,801,82,1432,1940,1028,633,582,1190,1301,666,105,447,413,571
2022-01-24,2022-02-06,672,859,1681,1049,628,6290,1516,1053,162,2109,3203,1919,728,765,949,1026,558,3052,2295,1743,3641
2022-02-07,2022-02-20,686,643,1334,1057,517,2587,944,759,174,1342,2267,1301,610,1080,1323,1291,697,93,373,350,455
2022-02-21,2022-03-06,700,508,1009,609,284,3857,936,722,108,708,1769,989,489,334,514,554,254,87,183,188,260
