start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,764,668,423,0,0,0,0,622,995,482,121,393,535,665,188,196,151,151,336
2020-04-06,2020-04-19,14,0,600,691,404,0,0,0,0,482,644,341,78,356,514,602,241,151,159,196,342
2020-04-20,2020-05-03,28,0,501,618,397,0,0,0,0,269,448,251,75,223,343,443,159,94,125,165,315
2020-05-04,2020-05-17,42,586,534,651,421,375,717,576,42,309,503,263,105,229,758,765,435,30,156,175,282
2020-05-18,2020-05-31,56,604,551,598,373,449,717,608,77,354,768,434,203,229,701,694,473,76,168,179,275
2020-06-01,2020-06-14,70,535,482,632,371,556,622,559,92,464,862,549,244,344,553,552,264,67,198,205,304
2020-06-15,2020-06-28,84,462,439,578,378,629,523,465,74,323,759,467,291,204,642,595,387,107,262,239,356
2020-06-29,2020-07-12,98,464,462,525,373,603,543,441,48,330,797,484,213,256,601,614,403,63,277,270,375
2020-07-13,2020-07-26,112,15,379,441,240,14,16,16,2,270,546,358,263,195,721,601,447,38,115,96,172
2020-07-27,2020-08-09,126,620,551,577,355,734,836,678,137,501,1467,940,696,335,974,820,363,54,196,205,298
2020-08-10,2020-08-23,140,623,1414,1109,698,1699,1250,673,251,1878,4151,2459,1210,924,2267,2016,1159,193,592,530,733
2020-08-24,2020-09-06,154,679,1500,1394,811,1279,1142,713,173,3136,3683,2069,1353,639,2235,1904,1151,259,734,655,795
2020-09-07,2020-09-20,168,890,1282,1435,909,13315,2558,1568,1229,3021,3676,2189,1071,3443,2333,2129,1077,266,724,636,933
2020-09-21,2020-10-04,182,686,1108,1073,606,7253,1522,924,127,1911,2966,1831,1028,1220,1383,1264,662,127,492,384,553
2020-10-05,2020-10-18,196,620,985,1027,618,3592,1192,770,150,1162,1619,825,394,990,1071,1070,448,293,608,523,749
2020-10-19,2020-11-01,210,647,903,1040,718,1683,967,662,82,1278,1680,973,420,670,3071,2528,725,134,481,416,648
2020-11-02,2020-11-15,224,661,1120,1171,798,5900,1233,887,154,1328,1656,977,415,983,1612,1537,787,99,477,486,807
2020-11-16,2020-11-29,238,810,993,1055,729,5808,1534,1053,90,1706,1416,899,573,578,1048,1063,701,149,376,375,549
2020-11-30,2020-12-13,252,687,1075,909,550,6508,1423,811,82,1592,2211,1314,1114,557,1225,1140,660,107,508,456,480
2020-12-14,2020-12-27,266,738,1355,1341,821,955,1020,717,105,1150,1975,1186,509,692,1832,1610,834,130,542,496,706
2020-12-28,2021-01-10,280,714,1094,1070,653,789,923,603,47,799,1548,865,1708,289,1146,1134,539,54,269,303,446
