start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,759,681,394,0,0,0,0,628,1035,497,99,379,505,678,193,170,139,147,343
2020-04-06,2020-04-19,14,0,612,704,396,0,0,0,0,498,664,344,90,354,500,615,275,142,152,192,326
2020-04-20,2020-05-03,28,0,499,619,391,0,0,0,0,265,463,247,71,241,362,467,186,85,130,173,295
2020-05-04,2020-05-17,42,621,542,658,407,416,785,666,45,301,496,226,67,218,447,541,207,31,145,153,254
2020-05-18,2020-05-31,56,564,553,637,390,417,717,585,71,403,814,507,278,292,812,805,529,67,183,202,280
2020-06-01,2020-06-14,70,559,515,616,355,452,657,569,78,507,874,523,277,281,467,514,249,55,227,225,315
2020-06-15,2020-06-28,84,480,477,585,383,930,579,461,75,343,589,340,149,214,563,527,351,120,301,263,381
2020-06-29,2020-07-12,98,470,457,550,374,576,516,456,48,655,878,593,736,299,621,591,454,91,269,248,531
2020-07-13,2020-07-26,112,14,346,490,235,20,17,20,2,199,423,247,134,232,600,555,446,37,122,119,184
2020-07-27,2020-08-09,126,574,547,595,341,667,837,652,143,484,1355,881,667,332,986,822,402,89,222,210,278
2020-08-10,2020-08-23,140,617,1412,1142,689,1754,1316,777,320,1880,4460,2680,1253,811,2046,1861,961,236,639,563,743
2020-08-24,2020-09-06,154,654,1505,1395,842,1193,1026,694,148,3460,3842,2194,1388,839,2328,2052,1138,291,860,689,838
2020-09-07,2020-09-20,168,864,1307,1468,909,13314,2320,1422,1182,3296,4147,2559,2276,4584,2429,2263,1208,250,759,662,1047
2020-09-21,2020-10-04,182,678,1131,1077,623,6678,1606,976,117,1963,2628,1584,759,1132,1662,1474,750,142,541,451,595
2020-10-05,2020-10-18,196,648,929,1014,591,3470,1304,799,153,967,1509,808,545,539,1011,1015,585,189,500,425,626
2020-10-19,2020-11-01,210,616,946,1027,690,1652,947,661,87,1147,1660,923,607,772,3188,2576,856,134,428,381,626
2020-11-02,2020-11-15,224,643,1118,1212,814,5787,1216,866,139,1964,1699,985,373,1150,1535,1509,791,145,537,502,903
2020-11-16,2020-11-29,238,757,997,1106,712,6431,1435,996,83,2279,1310,744,328,877,979,1043,485,122,354,343,545
2020-11-30,2020-12-13,252,685,1094,902,556,5278,1429,855,132,1548,2111,1241,846,518,1065,967,574,108,479,438,509
2020-12-14,2020-12-27,266,752,1364,1356,798,1002,1006,755,110,1236,2145,1270,786,672,1934,1658,735,147,473,420,692
2020-12-28,2021-01-10,280,706,1103,1045,668,761,849,598,51,782,1496,859,1468,334,1440,1342,617,63,254,273,451
