start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,765,662,408,0,0,0,0,598,1020,508,94,373,515,679,203,147,141,172,356
2020-04-06,2020-04-19,14,0,608,698,406,0,0,0,0,439,642,364,89,389,512,617,272,159,149,191,320
2020-04-20,2020-05-03,28,0,481,638,400,0,0,0,0,245,460,243,61,231,412,468,175,100,133,169,303
2020-05-04,2020-05-17,42,635,515,642,403,436,766,617,54,272,483,215,44,219,604,629,376,35,149,156,290
2020-05-18,2020-05-31,56,576,547,611,391,468,718,603,82,415,718,429,181,216,787,757,515,68,193,215,302
2020-06-01,2020-06-14,70,549,517,622,347,500,683,561,78,489,968,594,290,337,493,505,215,57,199,209,318
2020-06-15,2020-06-28,84,471,450,612,403,594,562,444,45,443,1011,661,460,234,568,607,289,110,268,249,386
2020-06-29,2020-07-12,98,444,467,541,361,455,482,435,54,557,665,417,669,275,546,521,302,53,215,220,346
2020-07-13,2020-07-26,112,12,355,481,231,3,12,14,0,232,489,289,186,216,848,695,536,29,108,124,161
2020-07-27,2020-08-09,126,605,529,578,342,686,845,660,118,428,1349,878,731,310,829,740,336,62,241,208,304
2020-08-10,2020-08-23,140,610,1432,1133,694,1421,1304,718,279,1907,4476,2731,1450,731,2109,1912,1021,209,629,545,669
2020-08-24,2020-09-06,154,668,1499,1450,795,1178,1096,690,174,3299,3477,1989,1351,702,2104,1946,971,368,977,768,934
2020-09-07,2020-09-20,168,897,1258,1389,950,10143,2400,1475,1222,2291,3487,2175,2090,1498,2229,2033,1080,305,759,670,1114
2020-09-21,2020-10-04,182,688,1106,1102,603,6198,1491,891,116,1806,2862,1806,961,1446,1634,1441,856,123,513,413,529
2020-10-05,2020-10-18,196,626,962,1017,618,3709,1191,788,102,1039,1386,689,349,1112,1142,1107,453,191,431,386,529
2020-10-19,2020-11-01,210,618,889,1047,720,1532,922,679,75,1246,1689,998,592,775,3078,2509,908,155,496,414,648
2020-11-02,2020-11-15,224,637,1129,1196,805,5895,1190,890,132,1799,1848,1081,407,1021,1737,1602,885,89,324,380,601
2020-11-16,2020-11-29,238,811,1034,1070,676,7091,1609,1102,91,2114,1468,885,601,528,1042,1071,532,162,364,372,508
2020-11-30,2020-12-13,252,711,1051,879,549,5041,1477,853,123,1526,2218,1308,1161,548,1424,1271,411,81,368,358,418
2020-12-14,2020-12-27,266,749,1322,1370,812,1032,1031,719,119,1109,1908,1145,664,847,1908,1625,852,162,554,482,661
2020-12-28,2021-01-10,280,702,1132,1045,694,758,874,587,61,706,1469,834,1468,353,1087,1080,559,64,277,290,469
2021-01-11,2021-01-24,294,547,1095,784,466,542,718,436,27,810,1327,690,371,332,916,793,595,54,151,188,322
2021-01-25,2021-02-07,308,610,1040,893,435,720,773,518,37,561,1151,541,154,293,1809,1483,547,51,189,188,299
2021-02-08,2021-02-21,322,599,1106,898,445,735,757,500,55,788,1351,726,558,306,831,854,546,247,331,276,529
2021-02-22,2021-03-07,336,558,901,872,534,633,667,486,42,500,954,484,238,239,714,730,307,58,175,169,360
2021-03-08,2021-03-21,350,619,999,950,580,3294,1085,640,64,1105,1111,568,320,874,1305,1154,727,73,320,301,395
2021-03-22,2021-04-04,364,580,897,921,600,4965,1545,1017,1076,703,1190,608,243,527,1166,1063,690,87,281,245,435
2021-04-05,2021-04-18,378,573,881,799,518,1288,931,600,269,453,1026,516,255,367,1187,1033,433,100,262,262,419
2021-04-19,2021-05-02,392,550,1173,936,531,4356,1045,725,88,1471,1759,1014,573,1222,1553,1372,1050,504,450,390,544
2021-05-03,2021-05-16,406,720,1039,1163,620,4497,1389,886,127,1187,1905,1105,732,864,1385,1324,714,88,462,435,453
2021-05-17,2021-05-30,420,689,1065,1195,706,6129,1648,1075,156,1490,2122,1203,573,719,1488,1337,779,314,568,506,496
2021-05-31,2021-06-13,434,813,1418,1431,689,4374,1695,985,214,1281,1970,1167,702,755,1952,1570,988,235,442,405,468
2021-06-14,2021-06-27,448,802,837,1283,794,5797,1731,1087,206,547,1125,576,311,2919,3200,2585,2180,293,817,634,1620
2021-06-28,2021-07-11,462,800,1055,1613,993,3890,1441,937,143,1239,1882,1100,673,1773,2605,2429,1198,1675,1529,1260,1947
2021-07-12,2021-07-25,476,679,675,1297,924,2355,1103,726,124,343,867,543,251,870,2328,1987,1133,219,1343,1113,1092
2021-07-26,2021-08-08,490,733,898,1322,896,942,999,785,199,508,1669,1022,324,440,1757,1694,1095,318,779,668,842
2021-08-09,2021-08-22,504,748,1685,1426,703,1022,1405,972,306,1488,2987,1694,695,1027,2672,2301,1216,321,1041,867,1360
2021-08-23,2021-09-05,518,787,1288,1328,618,1886,1259,747,124,1394,2174,1254,779,915,1831,1701,1387,107,317,321,503
2021-09-06,2021-09-19,532,666,1143,1137,672,2787,1091,770,139,1379,2003,1161,448,969,1153,1172,628,122,500,461,785
2021-09-20,2021-10-03,546,656,1300,1268,652,5677,1249,791,124,2324,2487,1356,840,568,3828,3141,2731,155,452,432,657
2021-10-04,2021-10-17,560,706,1198,1206,506,5737,1431,1028,220,2120,2670,1603,658,410,1681,1595,1610,97,424,437,465
2021-10-18,2021-10-31,574,886,1304,1208,666,2427,1400,1014,221,1281,2628,1521,668,826,2078,1837,959,1159,1130,884,1721
2021-11-01,2021-11-14,588,608,1144,1208,653,2485,1128,767,147,1375,3430,2258,1153,1095,1611,1513,1052,235,689,665,862
2021-11-15,2021-11-28,602,690,1506,1096,501,6126,1825,1365,78,1311,2355,1185,517,715,1082,1057,481,105,358,323,682
2021-11-29,2021-12-12,616,765,1230,979,526,4614,1199,954,124,1073,1825,996,480,558,809,865,442,349,640,513,778
2021-12-13,2021-12-26,630,884,1608,1152,554,2223,1319,962,122,1484,2287,1285,736,867,1245,1203,698,175,591,509,635
2021-12-27,2022-01-09,644,859,1895,1359,627,5324,2995,2252,135,1317,2623,1448,955,606,1385,1333,694,113,375,348,550
2022-01-10,2022-01-23,658,594,1337,1342,615,3773,1168,796,94,1660,2072,1134,728,859,1356,1368,745,125,530,448,577
2022-01-24,2022-02-06,672,872,1678,1050,643,4486,1438,1031,137,1894,3140,1848,897,861,919,1048,632,3063,2320,1791,3700
2022-02-07,2022-02-20,686,638,1330,1073,532,2333,898,730,72,1037,2039,1092,498,1090,1164,1170,590,66,330,328,486
2022-02-21,2022-03-06,700,523,968,614,265,2724,912,685,135,720,1599,864,365,221,542,548,298,96,176,167,261
