start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,783,676,405,0,0,0,0,636,1033,529,98,364,483,640,199,136,133,139,351
2020-04-06,2020-04-19,14,0,614,685,405,0,0,0,0,504,674,356,86,344,507,596,251,141,162,193,323
2020-04-20,2020-05-03,28,0,504,602,399,0,0,0,0,268,485,329,72,219,395,451,205,84,128,173,281
2020-05-04,2020-05-17,42,633,562,629,410,425,787,660,63,298,534,268,109,203,709,739,417,29,153,185,287
2020-05-18,2020-05-31,56,587,525,621,380,477,706,637,80,355,797,463,241,240,640,685,317,59,155,181,266
2020-06-01,2020-06-14,70,560,510,610,359,542,689,562,98,491,1022,631,288,288,460,473,234,67,195,207,328
2020-06-15,2020-06-28,84,476,449,574,399,565,562,470,73,412,953,630,387,196,531,527,316,95,282,271,396
2020-06-29,2020-07-12,98,454,450,570,373,565,541,432,46,590,804,522,677,297,669,594,468,120,329,287,555
2020-07-13,2020-07-26,112,15,361,475,247,16,20,18,2,205,489,286,215,276,961,800,595,42,134,124,157
2020-07-27,2020-08-09,126,605,536,573,348,724,837,688,138,500,1426,907,684,365,937,794,376,97,224,240,278
2020-08-10,2020-08-23,140,618,1383,1159,699,1335,1182,631,163,1687,3720,2148,924,934,2211,1991,1087,226,600,547,680
2020-08-24,2020-09-06,154,653,1482,1441,825,1344,1202,757,200,3666,3736,2087,1487,764,2640,2203,1283,351,905,770,971
2020-09-07,2020-09-20,168,884,1275,1467,953,12377,2381,1464,1216,3001,3268,1956,955,4198,2632,2413,1145,300,798,651,1025
2020-09-21,2020-10-04,182,702,1079,1113,620,6959,1585,989,133,1839,3127,1960,1045,942,1726,1555,837,131,513,426,558
2020-10-05,2020-10-18,196,618,966,1026,580,3510,1238,759,119,1086,1486,842,501,985,1096,1064,486,299,433,392,610
2020-10-19,2020-11-01,210,616,896,998,732,1662,945,685,103,1108,1595,953,448,549,3037,2463,820,147,492,438,673
2020-11-02,2020-11-15,224,673,1115,1198,798,6283,1229,890,87,2249,1719,1031,355,1191,1689,1567,866,127,607,585,921
2020-11-16,2020-11-29,238,804,993,1093,719,6924,1594,1074,89,2483,1295,756,432,703,1087,1131,594,156,347,351,511
2020-11-30,2020-12-13,252,693,1059,894,557,6803,1472,836,121,1483,2053,1213,872,456,1450,1299,391,96,363,337,444
2020-12-14,2020-12-27,266,741,1332,1416,772,949,980,728,119,974,1903,1131,505,944,2312,1932,909,125,512,429,664
2020-12-28,2021-01-10,280,683,1085,1084,667,659,816,580,47,724,1536,892,1662,316,1208,1168,490,58,268,287,447
2021-01-11,2021-01-24,294,566,1096,805,449,554,744,461,33,711,1233,624,335,305,939,861,693,42,157,181,275
2021-01-25,2021-02-07,308,600,1065,891,445,698,796,480,37,494,1012,436,133,292,1794,1432,1059,54,274,204,338
2021-02-08,2021-02-21,322,588,1092,918,468,640,748,482,43,755,1405,771,552,349,932,947,567,251,338,283,545
2021-02-22,2021-03-07,336,549,896,891,548,770,694,472,45,500,1014,526,231,274,692,676,295,54,183,187,401
2021-03-08,2021-03-21,350,617,1003,989,551,4007,1135,691,73,1966,1347,749,390,619,1140,1081,772,108,243,249,367
2021-03-22,2021-04-04,364,567,878,944,573,4517,1451,1045,1074,1563,1467,882,298,714,1362,1197,785,108,257,225,416
2021-04-05,2021-04-18,378,579,844,850,504,1376,940,608,252,475,1023,518,317,617,1363,1223,635,108,258,260,373
2021-04-19,2021-05-02,392,588,1137,941,543,4888,1271,809,111,1273,1575,868,416,1546,1569,1396,1057,305,350,353,407
2021-05-03,2021-05-16,406,698,1041,1184,614,5716,1537,1011,189,1591,1800,1021,482,1122,1482,1436,731,96,428,416,425
2021-05-17,2021-05-30,420,678,1047,1211,711,5548,1632,1035,146,1818,2022,1164,447,898,1579,1417,892,525,563,474,489
2021-05-31,2021-06-13,434,815,1433,1390,701,4214,1595,961,298,1474,2122,1183,769,967,1726,1491,808,290,563,475,490
2021-06-14,2021-06-27,448,822,850,1220,771,5810,1814,1196,203,608,1434,765,487,1531,1663,1426,764,341,853,658,1641
2021-06-28,2021-07-11,462,794,1084,1620,977,4006,1428,980,235,1174,1864,1042,525,1376,2524,2350,1196,1622,915,827,943
2021-07-12,2021-07-25,476,712,647,1308,930,2059,1105,747,132,311,761,486,216,732,1920,1736,1314,218,640,608,730
2021-07-26,2021-08-08,490,734,896,1330,918,1044,1071,792,231,574,1691,1096,373,638,2039,1872,1152,342,855,715,916
2021-08-09,2021-08-22,504,754,1704,1446,732,1076,1329,930,228,1484,3099,1699,829,701,2006,1788,1018,353,1095,905,1357
2021-08-23,2021-09-05,518,806,1285,1278,636,1820,1247,812,141,1182,2041,1096,574,1010,1930,1669,1303,122,356,376,530
2021-09-06,2021-09-19,532,642,1163,1163,680,3061,1062,737,136,1455,2241,1276,665,725,1729,1594,612,148,534,486,828
2021-09-20,2021-10-03,546,688,1327,1296,677,5924,1294,885,170,2318,2750,1533,1153,730,2487,2143,744,162,501,466,656
2021-10-04,2021-10-17,560,685,1190,1234,514,5048,1385,994,194,1023,1950,1117,431,701,1815,1674,1643,136,438,484,506
2021-10-18,2021-10-31,574,905,1348,1194,646,2644,1487,1041,266,1444,3598,2228,1383,555,1574,1531,907,1165,1021,818,1827
2021-11-01,2021-11-14,588,603,1157,1204,575,2502,1063,748,139,1352,3010,1995,945,1408,1457,1412,1130,203,745,716,853
2021-11-15,2021-11-28,602,681,1535,1038,540,6223,1787,1328,81,1406,2149,1149,644,518,1196,1073,665,151,345,297,492
2021-11-29,2021-12-12,616,753,1222,996,511,8057,2328,1836,107,1420,1788,971,321,767,846,890,441,749,472,361,470
2021-12-13,2021-12-26,630,867,1607,1150,567,3087,1349,995,188,1366,2299,1321,681,654,1166,1159,560,308,766,675,754
2021-12-27,2022-01-09,644,866,1923,1372,621,6957,3114,2269,164,3173,3251,1853,1489,695,1409,1387,648,117,397,339,566
2022-01-10,2022-01-23,658,614,1299,1343,594,3491,1215,769,87,1564,1889,1018,461,1040,1523,1421,789,111,456,391,503
2022-01-24,2022-02-06,672,881,1668,1070,582,8248,1596,1109,166,2131,2589,1425,649,913,944,1010,602,3045,2194,1622,3581
2022-02-07,2022-02-20,686,653,1329,1076,519,2531,938,775,172,1680,2582,1464,704,765,1250,1286,707,101,363,353,463
2022-02-21,2022-03-06,700,514,971,617,275,2726,904,661,139,747,1668,927,431,332,597,603,335,85,158,160,235
