start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,780,679,414,0,0,0,0,607,988,496,118,394,487,682,204,158,136,167,353
2020-04-06,2020-04-19,14,0,592,679,412,0,0,0,0,483,634,361,75,369,479,555,270,155,166,187,353
2020-04-20,2020-05-03,28,0,507,622,403,0,0,0,0,277,476,281,71,239,356,455,192,87,114,151,305
2020-05-04,2020-05-17,42,611,530,646,433,437,742,628,59,296,472,228,60,193,595,618,416,32,162,179,315
2020-05-18,2020-05-31,56,585,552,620,369,442,725,601,73,383,845,490,238,281,741,713,493,62,157,172,278
2020-06-01,2020-06-14,70,549,491,636,363,516,650,562,72,451,910,585,262,315,514,544,252,46,147,188,276
2020-06-15,2020-06-28,84,455,461,590,385,888,557,451,49,393,893,509,272,218,542,512,300,137,308,276,424
2020-06-29,2020-07-12,98,440,470,572,342,547,476,437,43,291,632,369,203,322,607,584,479,109,323,271,555
2020-07-13,2020-07-26,112,14,350,483,240,4,16,19,2,241,447,272,190,210,528,513,484,26,105,134,165
2020-07-27,2020-08-09,126,598,551,591,328,666,842,658,134,473,1201,779,456,374,895,755,359,58,234,223,298
2020-08-10,2020-08-23,140,572,1374,1147,714,1549,1268,708,309,1862,4215,2559,1336,923,2271,2039,1130,223,634,580,749
2020-08-24,2020-09-06,154,661,1471,1442,801,1227,1131,747,223,3221,3870,2178,1493,671,2121,1920,965,374,953,784,1009
2020-09-07,2020-09-20,168,882,1280,1413,951,13232,2506,1533,228,3823,3146,1901,1751,1237,2038,1900,963,275,784,633,1127
2020-09-21,2020-10-04,182,678,1110,1068,610,6373,1539,953,133,1772,2698,1642,844,1550,1519,1397,717,114,455,384,565
2020-10-05,2020-10-18,196,637,927,1045,580,3555,1268,774,138,1134,1628,926,517,873,1122,1054,577,176,425,377,571
2020-10-19,2020-11-01,210,635,880,1036,741,1817,955,683,92,1267,1652,955,661,334,1012,1002,501,140,437,387,586
2020-11-02,2020-11-15,224,668,1119,1180,823,6000,1284,908,157,1581,1639,940,327,948,1536,1500,649,118,524,515,790
2020-11-16,2020-11-29,238,797,986,1070,706,6817,1617,1073,83,1265,1106,632,352,782,959,1038,646,113,309,309,487
2020-11-30,2020-12-13,252,688,1045,922,549,6616,1392,811,122,1263,1677,976,725,576,1678,1408,645,71,335,328,408
2020-12-14,2020-12-27,266,739,1318,1372,813,1028,1001,684,111,1006,1807,1103,545,457,1525,1444,700,156,506,444,616
2020-12-28,2021-01-10,280,699,1103,1075,678,719,853,598,53,575,1442,801,650,272,1179,1087,560,70,264,275,465
2021-01-11,2021-01-24,294,555,1094,797,459,546,746,431,32,630,1207,641,335,314,1004,907,685,48,168,194,291
2021-01-25,2021-02-07,308,581,1060,883,435,636,745,481,26,526,1149,535,158,266,849,859,999,60,244,203,316
2021-02-08,2021-02-21,322,593,1105,901,469,736,743,494,49,707,1145,591,240,333,826,805,443,56,252,224,390
2021-02-22,2021-03-07,336,556,910,866,549,762,694,491,61,516,1029,531,205,271,788,747,355,43,170,172,411
2021-03-08,2021-03-21,350,619,1007,975,551,3560,1141,667,64,1805,1307,690,326,793,1424,1259,804,83,295,238,378
2021-03-22,2021-04-04,364,593,849,932,608,5063,1543,1077,1074,733,1544,920,417,371,919,933,522,131,286,262,439
2021-04-05,2021-04-18,378,557,866,827,510,1250,910,582,269,458,1117,538,295,706,1597,1353,759,97,257,261,428
2021-04-19,2021-05-02,392,594,1142,907,545,4433,1287,774,91,1630,1630,898,429,1578,1278,1164,1029,226,353,329,379
2021-05-03,2021-05-16,406,669,1047,1217,654,4477,1351,796,122,1596,1982,1146,654,828,1411,1347,670,121,364,371,441
2021-05-17,2021-05-30,420,672,1046,1197,678,5674,1666,1060,146,1678,2215,1324,612,953,1581,1424,909,300,540,519,481
2021-05-31,2021-06-13,434,826,1430,1386,715,4117,1569,935,208,1901,2154,1249,736,550,1833,1536,892,323,630,527,522
2021-06-14,2021-06-27,448,787,874,1274,773,5770,1791,1169,181,578,1481,857,536,1314,1936,1702,1051,344,810,686,1668
