start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,769,671,444,0,0,0,0,585,997,465,100,377,471,656,209,187,147,168,393
2020-04-06,2020-04-19,14,0,592,702,399,0,0,0,0,484,652,321,67,368,502,573,279,152,155,188,333
2020-04-20,2020-05-03,28,0,506,625,391,0,0,0,0,251,479,284,77,243,370,447,164,86,126,182,285
2020-05-04,2020-05-17,42,620,568,628,421,422,772,625,57,328,516,248,60,205,683,714,437,34,155,153,277
2020-05-18,2020-05-31,56,606,546,618,367,489,707,634,72,436,810,530,287,272,795,760,494,67,190,203,292
2020-06-01,2020-06-14,70,547,524,606,375,537,649,586,67,515,925,562,289,268,495,487,210,55,174,192,301
2020-06-15,2020-06-28,84,461,480,599,374,901,563,489,81,567,1245,774,535,229,458,491,246,97,242,235,358
2020-06-29,2020-07-12,98,430,465,579,356,509,507,402,55,645,837,544,717,291,655,630,391,108,282,265,543
2020-07-13,2020-07-26,112,11,371,469,242,12,12,15,2,247,565,337,239,226,646,597,576,30,121,134,177
2020-07-27,2020-08-09,126,598,531,623,331,690,862,669,148,465,1240,825,440,349,974,809,361,85,209,199,259
2020-08-10,2020-08-23,140,595,1418,1141,704,1377,1227,664,304,1428,4345,2590,1310,882,2273,2022,1005,219,604,572,677
2020-08-24,2020-09-06,154,647,1456,1437,788,1315,1190,786,205,1319,3187,1768,921,799,2461,2150,1229,313,784,632,902
2020-09-07,2020-09-20,168,883,1270,1427,936,13484,2565,1562,1225,3814,3661,2292,1983,2096,2200,2027,1129,259,763,622,1085
2020-09-21,2020-10-04,182,692,1095,1088,606,6714,1559,917,128,1710,2598,1598,931,1704,1595,1385,702,146,517,431,583
2020-10-05,2020-10-18,196,616,946,1026,603,2910,1198,760,143,1090,1650,888,558,1166,1070,1073,569,99,439,375,523
2020-10-19,2020-11-01,210,585,889,1016,760,1593,817,644,81,1104,1786,1074,842,652,3032,2482,924,142,483,450,679
2020-11-02,2020-11-15,224,647,1131,1172,814,4451,1225,821,84,1889,1726,955,319,1316,1562,1451,950,161,590,550,871
2020-11-16,2020-11-29,238,783,971,1100,699,6718,1559,1040,95,1927,1224,715,431,539,980,1018,610,162,367,361,528
2020-11-30,2020-12-13,252,700,1082,902,534,4739,1376,812,119,1278,2127,1235,944,372,1011,962,381,63,286,302,361
