start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,772,659,433,0,0,0,0,547,1014,491,94,380,466,622,193,191,152,164,367
2020-04-06,2020-04-19,14,0,616,691,401,0,0,0,0,496,682,340,75,362,525,598,253,139,141,161,330
2020-04-20,2020-05-03,28,0,502,606,395,0,0,0,0,257,487,282,59,217,368,443,174,98,134,170,289
2020-05-04,2020-05-17,42,601,558,637,433,415,730,637,58,293,492,251,110,244,585,610,231,42,157,160,303
2020-05-18,2020-05-31,56,601,555,626,361,455,764,570,76,377,740,428,204,246,719,696,468,66,172,194,258
2020-06-01,2020-06-14,70,555,497,624,381,551,674,562,90,323,699,410,185,309,496,513,207,39,159,207,288
2020-06-15,2020-06-28,84,450,468,605,369,954,529,452,73,462,942,538,439,249,620,601,389,111,198,179,343
2020-06-29,2020-07-12,98,453,477,574,359,536,531,431,50,385,812,496,249,247,586,591,468,102,269,234,502
2020-07-13,2020-07-26,112,11,367,478,253,7,16,15,2,181,426,219,95,211,581,511,486,46,139,133,188
2020-07-27,2020-08-09,126,600,542,593,353,728,854,695,149,535,1558,1007,782,260,670,586,306,62,207,204,283
2020-08-10,2020-08-23,140,592,1417,1137,685,1646,1284,721,303,1483,4273,2591,1220,749,2088,1864,992,216,630,518,698
2020-08-24,2020-09-06,154,646,1507,1392,819,1209,1142,709,185,1393,3793,2199,971,709,2080,1904,1033,345,847,681,938
2020-09-07,2020-09-20,168,879,1291,1390,975,12330,2485,1584,1190,2010,3523,2110,2010,3529,2480,2201,1134,313,809,687,1165
2020-09-21,2020-10-04,182,698,1091,1109,614,6648,1529,941,111,2004,2625,1630,986,1421,1439,1346,688,152,538,444,594
2020-10-05,2020-10-18,196,643,945,1000,588,4077,1291,874,153,996,1651,850,477,852,1072,1096,614,270,581,510,756
