start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,772,689,410,0,0,0,0,583,1023,464,112,366,518,658,221,189,144,150,350
2020-04-06,2020-04-19,14,0,602,710,401,0,0,0,0,501,657,355,80,360,520,606,293,142,151,183,342
2020-04-20,2020-05-03,28,0,510,587,406,0,0,0,0,266,513,300,82,222,348,416,177,115,131,175,310
2020-05-04,2020-05-17,42,620,552,628,420,416,761,638,51,312,478,220,74,195,603,637,257,35,155,156,294
2020-05-18,2020-05-31,56,585,539,614,369,434,696,580,71,374,776,479,264,269,819,800,515,70,164,192,298
2020-06-01,2020-06-14,70,546,480,642,357,502,632,588,58,479,927,587,262,314,528,548,263,52,193,209,314
2020-06-15,2020-06-28,84,462,470,606,404,863,541,487,45,563,1229,731,468,239,610,623,352,127,317,288,436
2020-06-29,2020-07-12,98,463,459,557,361,604,538,452,53,618,787,470,649,236,649,585,456,51,211,210,307
2020-07-13,2020-07-26,112,12,365,467,240,9,16,16,2,237,498,298,181,150,437,422,292,42,141,125,171
2020-07-27,2020-08-09,126,590,546,569,337,674,820,648,155,441,1168,737,499,265,654,537,285,93,233,222,326
2020-08-10,2020-08-23,140,603,1398,1151,688,1419,1353,761,331,1353,3846,2257,1020,976,2249,2040,1192,216,621,561,675
2020-08-24,2020-09-06,154,641,1506,1403,835,1383,1121,730,200,1253,3405,1923,811,795,2132,1880,1053,237,749,596,777
2020-09-07,2020-09-20,168,898,1322,1414,926,13663,2449,1519,216,3512,3891,2339,2197,4407,2211,2098,1062,276,730,624,1133
2020-09-21,2020-10-04,182,703,1113,1096,576,6446,1490,896,97,2171,2687,1642,946,2832,1700,1512,669,132,476,380,546
2020-10-05,2020-10-18,196,631,926,1008,613,3489,1247,789,116,1142,1547,845,452,1016,1074,1133,671,115,447,386,639
2020-10-19,2020-11-01,210,624,907,1040,710,1911,947,713,92,1320,1649,1007,523,722,2940,2441,832,154,496,452,637
2020-11-02,2020-11-15,224,699,1102,1175,807,5078,1308,964,149,2215,1765,1078,401,1201,1378,1360,699,155,628,579,902
2020-11-16,2020-11-29,238,803,1003,1091,681,6036,1528,1050,99,1323,1267,741,397,635,958,1008,449,93,299,333,501
2020-11-30,2020-12-13,252,685,1051,894,551,5956,1390,812,95,1083,1662,930,591,394,1461,1235,582,120,499,417,501
2020-12-14,2020-12-27,266,749,1344,1393,806,1092,1049,726,119,1044,1923,1140,660,748,2206,1871,906,138,541,468,692
2020-12-28,2021-01-10,280,706,1086,1055,660,725,873,587,49,709,1487,852,1609,327,1265,1180,564,66,263,278,434
2021-01-11,2021-01-24,294,565,1081,807,464,602,753,440,30,661,1168,591,255,326,942,818,606,43,121,156,277
2021-01-25,2021-02-07,308,591,1038,888,444,712,779,478,41,523,1007,484,155,329,1718,1426,987,50,217,183,289
2021-02-08,2021-02-21,322,596,1092,846,453,744,753,475,45,595,1335,734,463,335,911,882,527,257,348,304,564
2021-02-22,2021-03-07,336,555,881,902,534,721,699,480,54,387,888,460,194,230,723,689,373,53,189,183,409
2021-03-08,2021-03-21,350,602,1025,979,555,3684,1074,678,55,1906,1448,833,492,747,1346,1228,836,99,307,256,385
2021-03-22,2021-04-04,364,599,869,908,593,4575,1522,1055,1080,1655,1506,918,354,416,1245,1145,658,106,252,238,413
2021-04-05,2021-04-18,378,605,823,827,498,1410,870,546,191,436,1000,551,351,592,1497,1296,583,80,199,236,352
2021-04-19,2021-05-02,392,589,1109,913,551,4569,1239,788,100,1496,1642,965,408,1570,1785,1576,1129,513,453,398,569
2021-05-03,2021-05-16,406,696,1011,1169,649,5712,1572,988,215,1471,1815,1027,471,1088,1542,1457,819,122,367,383,455
2021-05-17,2021-05-30,420,689,1001,1196,706,5587,1648,1020,132,1965,1970,1102,484,908,1444,1334,764,383,496,446,524
2021-05-31,2021-06-13,434,793,1444,1422,690,4199,1565,988,195,1166,2117,1239,702,681,1933,1581,932,229,517,445,490
2021-06-14,2021-06-27,448,808,863,1303,752,5781,1772,1095,184,506,1374,766,538,1823,1946,1699,1091,296,776,601,1594
