start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,774,708,382,0,0,0,0,608,1079,517,107,413,491,636,205,138,120,144,329
2020-04-06,2020-04-19,14,0,610,691,404,0,0,0,0,508,618,330,88,335,497,593,278,149,158,190,336
2020-04-20,2020-05-03,28,0,502,606,390,0,0,0,0,261,510,298,80,242,340,432,178,89,122,144,306
2020-05-04,2020-05-17,42,618,562,633,415,422,768,658,66,312,488,235,69,196,589,611,403,40,162,170,283
2020-05-18,2020-05-31,56,594,537,628,358,446,742,632,63,374,779,523,283,244,693,698,334,58,164,183,268
2020-06-01,2020-06-14,70,557,486,625,379,530,680,563,57,364,647,356,200,316,539,559,237,50,200,209,302
2020-06-15,2020-06-28,84,462,468,612,375,989,604,479,77,588,1245,760,535,247,639,620,387,105,239,231,373
2020-06-29,2020-07-12,98,459,470,571,342,624,511,446,53,575,699,456,676,238,615,616,455,88,237,226,489
2020-07-13,2020-07-26,112,15,363,471,248,21,18,18,0,217,502,301,171,267,1026,878,682,39,131,129,169
2020-07-27,2020-08-09,126,600,532,580,354,703,859,664,141,484,1323,843,679,375,1047,871,404,88,251,239,317
2020-08-10,2020-08-23,140,598,1414,1122,714,1800,1335,785,335,1756,4046,2463,1139,924,2271,1982,1041,181,553,484,627
2020-08-24,2020-09-06,154,652,1474,1420,828,1299,1120,706,182,3165,3470,1961,1303,696,1978,1791,903,361,944,777,1007
2020-09-07,2020-09-20,168,862,1276,1454,938,12989,2378,1511,217,2237,3581,2173,1982,2052,2120,1998,1089,289,811,693,1112
2020-09-21,2020-10-04,182,701,1093,1066,610,6709,1608,966,134,1981,3061,1948,1080,809,1408,1239,722,131,439,388,494
2020-10-05,2020-10-18,196,601,982,1043,591,3259,1102,713,93,1122,1596,882,357,1355,1183,1168,706,178,508,457,643
2020-10-19,2020-11-01,210,628,889,1054,723,1639,909,686,75,1328,1766,1007,645,735,1493,1342,669,129,481,413,650
2020-11-02,2020-11-15,224,666,1096,1172,789,4655,1196,879,81,1323,1744,956,441,1374,1663,1565,928,108,565,546,798
2020-11-16,2020-11-29,238,788,1002,1076,707,6824,1585,997,84,2344,1444,853,581,847,1050,1076,657,125,336,346,513
2020-11-30,2020-12-13,252,705,1072,891,569,5475,1513,842,117,1187,1824,1049,889,428,1471,1251,544,72,346,340,447
2020-12-14,2020-12-27,266,740,1351,1380,806,972,1003,720,123,1200,2143,1348,779,840,1834,1694,838,159,599,516,681
2020-12-28,2021-01-10,280,694,1093,1050,662,705,845,585,47,647,1383,768,1396,331,1213,1178,580,75,292,295,459
2021-01-11,2021-01-24,294,564,1104,787,453,570,777,446,41,532,1209,599,301,246,810,733,531,35,132,195,313
2021-01-25,2021-02-07,308,610,1044,860,446,719,781,492,31,510,1094,526,136,288,846,840,580,53,285,216,323
2021-02-08,2021-02-21,322,617,1078,871,442,672,795,495,50,729,1192,613,280,350,971,957,671,249,349,280,557
2021-02-22,2021-03-07,336,542,900,896,547,730,663,483,53,495,960,516,212,267,725,677,381,50,196,195,392
2021-03-08,2021-03-21,350,605,1016,990,563,3609,1092,668,67,1339,1253,654,455,546,1199,1110,713,71,200,210,374
2021-03-22,2021-04-04,364,570,851,921,586,2683,917,627,64,1612,1494,862,359,680,1061,1038,525,141,285,246,429
2021-04-05,2021-04-18,378,560,860,811,508,1299,840,585,200,456,1058,598,327,401,832,808,464,65,217,237,411
2021-04-19,2021-05-02,392,580,1117,934,563,4037,1257,774,98,1480,1724,1017,631,1225,1607,1430,1077,533,468,389,613
2021-05-03,2021-05-16,406,682,1043,1158,641,4906,1388,845,132,798,1891,1104,567,935,1462,1356,687,110,445,441,447
2021-05-17,2021-05-30,420,676,1029,1223,701,5108,1550,968,131,2125,2288,1365,639,783,1552,1418,741,315,543,495,493
2021-05-31,2021-06-13,434,815,1453,1407,659,4147,1611,930,276,2056,2078,1214,758,1014,2055,1715,1286,254,544,490,521
2021-06-14,2021-06-27,448,793,873,1273,762,5054,1693,1106,199,595,1420,773,343,2406,3076,2418,1955,267,539,477,714
2021-06-28,2021-07-11,462,790,1081,1641,978,4368,1577,993,257,1078,1735,935,438,2024,2502,2381,1253,1657,911,779,902
2021-07-12,2021-07-25,476,676,644,1318,949,2156,1085,706,128,285,785,465,266,824,2191,1912,1437,256,1480,1182,1122
