start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,755,651,426,0,0,0,0,638,1034,502,111,389,460,604,220,154,129,144,354
2020-04-06,2020-04-19,14,0,595,708,396,0,0,0,0,444,647,308,67,373,516,612,282,146,155,197,330
2020-04-20,2020-05-03,28,0,491,615,383,0,0,0,0,247,445,237,64,233,397,475,197,92,115,175,281
2020-05-04,2020-05-17,42,627,574,638,405,457,779,652,52,321,478,227,68,206,421,512,204,31,153,169,292
2020-05-18,2020-05-31,56,569,551,628,385,447,686,612,86,368,763,481,229,256,763,762,485,68,166,195,294
2020-06-01,2020-06-14,70,553,492,646,353,539,666,572,66,476,914,576,254,344,544,540,259,58,200,214,306
2020-06-15,2020-06-28,84,467,457,584,385,836,577,481,78,423,923,560,400,206,598,583,342,127,315,283,413
2020-06-29,2020-07-12,98,437,450,571,365,589,488,412,51,365,585,384,241,263,680,634,470,53,217,232,309
2020-07-13,2020-07-26,112,16,372,483,212,20,24,22,2,251,500,314,190,282,984,828,635,30,116,123,164
2020-07-27,2020-08-09,126,606,541,582,340,664,819,645,125,472,1156,735,582,355,861,732,401,89,262,268,318
2020-08-10,2020-08-23,140,615,1408,1142,681,1560,1390,771,307,1762,4096,2395,1185,739,2014,1798,961,222,667,616,732
2020-08-24,2020-09-06,154,642,1519,1426,800,1207,1150,745,204,3109,3635,2077,1445,725,2459,2118,1366,366,790,637,900
2020-09-07,2020-09-20,168,876,1276,1398,924,11427,2458,1572,1243,2793,3592,2116,2072,4231,2569,2327,1063,287,802,688,1086
2020-09-21,2020-10-04,182,687,1136,1062,613,6438,1531,945,115,1814,2866,1861,952,1795,1731,1508,854,122,472,375,543
2020-10-05,2020-10-18,196,619,938,1017,615,3790,1246,839,155,1178,1487,830,469,1331,1239,1144,658,313,524,473,788
2020-10-19,2020-11-01,210,624,889,1018,761,1838,953,702,96,775,1323,723,271,495,2964,2482,820,117,434,396,591
2020-11-02,2020-11-15,224,630,1134,1184,800,6237,1251,862,99,1561,1858,1062,435,1277,1478,1428,685,123,590,545,900
2020-11-16,2020-11-29,238,771,1031,1072,712,6222,1458,972,90,2441,1469,877,552,597,1087,1102,725,158,334,340,520
2020-11-30,2020-12-13,252,720,1079,895,553,6256,1470,861,119,1508,2325,1379,1139,387,1558,1350,647,85,337,337,420
2020-12-14,2020-12-27,266,735,1301,1358,820,955,969,699,112,1196,1903,1186,668,841,2211,1845,857,176,554,516,664
2020-12-28,2021-01-10,280,713,1082,1035,656,743,886,606,45,654,1482,806,739,278,1181,1104,515,53,264,269,440
2021-01-11,2021-01-24,294,591,1068,806,456,595,771,460,42,561,1069,488,158,381,981,858,670,50,178,196,342
2021-01-25,2021-02-07,308,597,1090,856,428,714,791,484,36,550,1039,467,146,292,1851,1477,1079,57,258,186,305
2021-02-08,2021-02-21,322,596,1078,879,459,757,764,496,48,618,1325,725,508,338,856,873,495,254,369,308,536
2021-02-22,2021-03-07,336,540,900,888,577,667,663,474,45,546,1005,508,235,238,716,676,276,50,195,210,430
2021-03-08,2021-03-21,350,619,1026,982,541,4232,1171,705,61,1701,1238,646,160,703,1364,1223,571,83,291,262,352
2021-03-22,2021-04-04,364,592,847,916,608,4849,1499,1036,1081,1639,1563,923,419,461,905,883,369,112,271,228,422
2021-04-05,2021-04-18,378,578,870,811,485,1352,842,556,193,574,1135,617,424,584,1294,1186,542,97,220,222,339
2021-04-19,2021-05-02,392,566,1147,918,540,4560,1185,697,104,1436,1661,979,655,1531,1396,1257,786,455,442,411,608
2021-05-03,2021-05-16,406,691,1018,1193,639,4900,1458,855,132,1492,1610,945,475,1126,1539,1442,849,107,348,350,460
2021-05-17,2021-05-30,420,686,1062,1167,701,6077,1659,1043,177,1377,2256,1312,509,701,1549,1353,688,452,528,501,450
2021-05-31,2021-06-13,434,831,1473,1385,709,4528,1572,953,288,1811,2436,1383,813,1058,1949,1596,1265,207,474,435,414
2021-06-14,2021-06-27,448,802,824,1256,752,5902,1849,1218,229,602,1356,808,532,2622,3288,2519,2147,237,645,560,737
2021-06-28,2021-07-11,462,831,1044,1617,1013,4088,1478,976,233,1203,2044,1157,719,1752,2411,2239,1221,241,1424,1143,1991
2021-07-12,2021-07-25,476,692,678,1297,899,1953,1054,736,94,311,866,544,248,576,1506,1463,1045,225,1284,1081,1017
2021-07-26,2021-08-08,490,733,869,1334,891,1006,1133,771,240,536,1432,861,398,417,1620,1576,955,265,648,544,773
2021-08-09,2021-08-22,504,689,1719,1421,712,1057,1392,932,304,1318,3280,1872,827,982,2643,2263,1194,210,457,447,653
2021-08-23,2021-09-05,518,805,1249,1305,640,1758,1263,778,138,957,2083,1120,509,818,1646,1536,1145,115,415,387,602
2021-09-06,2021-09-19,532,694,1151,1146,672,3878,1233,880,153,1157,2115,1200,551,927,1788,1682,691,134,537,463,745
2021-09-20,2021-10-03,546,672,1326,1268,673,5831,1294,831,173,2158,2402,1328,852,574,2829,2390,3031,136,427,414,652
2021-10-04,2021-10-17,560,699,1189,1241,503,3780,1297,902,201,1997,2437,1461,685,564,1377,1333,873,102,332,357,454
2021-10-18,2021-10-31,574,931,1332,1218,643,2974,1575,1121,242,1148,2465,1361,583,516,1339,1297,713,1135,947,757,1679
2021-11-01,2021-11-14,588,601,1160,1200,629,2768,1078,777,148,1670,3475,2226,1198,1022,1283,1295,986,230,711,664,867
2021-11-15,2021-11-28,602,707,1507,1064,514,6607,1864,1388,104,1326,2292,1158,649,851,1224,1119,669,100,314,308,533
2021-11-29,2021-12-12,616,745,1209,1031,500,6757,2296,1761,116,1519,1860,985,502,632,923,950,485,384,1050,854,1225
2021-12-13,2021-12-26,630,886,1558,1199,600,1981,1289,954,148,1156,2005,1067,477,867,1259,1210,599,235,586,555,645
2021-12-27,2022-01-09,644,852,1911,1363,609,4016,1424,1041,152,2775,2805,1552,1098,774,1226,1266,671,104,377,342,567
2022-01-10,2022-01-23,658,588,1355,1345,614,3705,1175,784,88,1893,2172,1211,733,789,1158,1205,530,116,499,423,564
2022-01-24,2022-02-06,672,880,1675,1053,621,4339,1402,1023,99,2552,3308,1968,863,805,1071,1068,674,160,505,487,611
2022-02-07,2022-02-20,686,634,1343,1062,503,2384,944,774,175,1465,2320,1216,608,1169,1244,1275,702,99,316,321,414
2022-02-21,2022-03-06,700,546,957,615,265,3152,936,735,124,869,2360,1337,488,315,606,622,369,57,174,168,231
