start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,791,650,413,0,0,0,0,637,1072,518,112,364,496,642,199,147,137,157,337
2020-04-06,2020-04-19,14,0,600,700,378,0,0,0,0,503,639,317,85,358,514,614,249,133,150,171,322
2020-04-20,2020-05-03,28,0,508,621,388,0,0,0,0,266,475,265,63,222,370,448,191,78,119,153,283
2020-05-04,2020-05-17,42,599,536,666,410,388,706,625,57,290,473,222,67,224,779,814,468,35,174,186,282
2020-05-18,2020-05-31,56,558,560,623,376,408,682,569,71,352,879,547,270,243,789,756,509,61,172,200,280
2020-06-01,2020-06-14,70,558,509,642,361,517,689,564,91,495,895,557,259,245,477,532,252,52,151,180,267
2020-06-15,2020-06-28,84,485,445,581,386,945,639,483,80,496,1088,706,422,213,553,547,354,128,298,276,403
2020-06-29,2020-07-12,98,432,455,580,365,516,530,392,41,587,682,423,660,322,661,619,457,102,314,282,567
2020-07-13,2020-07-26,112,11,377,462,225,15,18,15,0,204,497,309,209,233,604,545,538,36,114,100,154
2020-07-27,2020-08-09,126,600,527,580,335,662,824,678,121,422,1390,907,672,376,986,808,415,86,241,240,316
2020-08-10,2020-08-23,140,619,1409,1113,698,1551,1286,698,291,1715,3696,2122,921,866,2105,1929,1016,232,612,595,712
2020-08-24,2020-09-06,154,671,1449,1454,831,1226,1111,733,192,1303,3352,1890,998,872,2288,2048,1118,332,825,714,932
2020-09-07,2020-09-20,168,881,1270,1441,936,13291,2400,1512,206,3177,3142,1831,1825,4078,2565,2320,1151,284,754,675,1079
2020-09-21,2020-10-04,182,659,1147,1115,626,6439,1452,881,106,1845,3001,1887,1017,2126,1655,1509,821,123,516,398,583
2020-10-05,2020-10-18,196,630,957,978,634,3702,1203,713,122,1179,1687,894,405,905,1122,1082,664,126,463,452,609
2020-10-19,2020-11-01,210,618,890,1019,735,1590,939,695,90,1495,1759,1042,727,820,3053,2499,912,141,489,469,690
