start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,769,657,420,0,0,0,0,580,1029,498,102,386,507,677,191,149,130,137,374
2020-04-06,2020-04-19,14,0,597,714,400,0,0,0,0,430,662,344,84,388,528,617,272,139,148,171,316
2020-04-20,2020-05-03,28,0,518,609,389,0,0,0,0,239,497,306,67,228,369,443,169,91,114,167,313
2020-05-04,2020-05-17,42,620,520,666,430,422,779,653,40,311,471,242,101,241,737,767,441,35,169,160,274
2020-05-18,2020-05-31,56,593,547,612,380,467,724,628,85,415,811,502,283,288,837,804,552,63,181,202,283
2020-06-01,2020-06-14,70,543,497,634,364,539,660,592,75,471,949,569,298,342,548,551,250,48,188,220,295
2020-06-15,2020-06-28,84,441,481,592,384,850,539,442,48,461,1002,612,349,224,559,544,321,108,265,246,392
2020-06-29,2020-07-12,98,478,468,556,355,673,540,464,47,610,796,476,616,306,698,628,462,44,175,193,319
2020-07-13,2020-07-26,112,14,383,470,233,12,18,17,0,276,545,357,239,228,882,753,541,37,126,120,173
2020-07-27,2020-08-09,126,596,532,601,334,584,786,648,125,507,1304,780,645,329,953,802,362,92,221,204,300
2020-08-10,2020-08-23,140,602,1388,1120,696,1440,1378,759,320,1674,3751,2180,993,716,2094,1875,1046,192,627,577,663
2020-08-24,2020-09-06,154,665,1488,1453,821,1408,1223,771,227,1566,3239,1854,822,711,2272,2026,1141,346,841,666,930
2020-09-07,2020-09-20,168,891,1290,1367,961,11334,2533,1545,1226,3471,3244,1915,843,3973,2140,1925,1060,280,854,745,1118
2020-09-21,2020-10-04,182,719,1090,1129,611,7142,1640,974,143,1915,2548,1497,756,2765,1556,1466,667,118,472,430,549
2020-10-05,2020-10-18,196,609,944,1023,623,3094,1157,691,111,1111,1634,878,598,778,1070,1047,604,276,623,544,720
2020-10-19,2020-11-01,210,618,904,1047,703,1717,923,664,91,1410,1734,1065,721,580,3109,2548,933,97,386,351,548
2020-11-02,2020-11-15,224,652,1083,1238,788,5950,1184,856,92,2063,1647,967,328,1072,1793,1684,923,117,383,395,652
2020-11-16,2020-11-29,238,794,1025,1093,682,6009,1568,1033,85,2657,1376,827,542,939,1079,1130,707,108,357,336,504
2020-11-30,2020-12-13,252,703,1033,908,544,6616,1406,804,89,1076,1819,1043,648,472,1267,1104,398,109,450,394,482
2020-12-14,2020-12-27,266,717,1353,1343,838,917,989,710,116,861,1844,1134,606,759,2193,1856,867,117,521,449,666
2020-12-28,2021-01-10,280,714,1106,1028,676,751,883,588,51,619,1326,735,521,359,1237,1175,566,52,259,283,493
2021-01-11,2021-01-24,294,549,1078,784,452,529,703,437,28,585,1248,632,273,285,777,716,512,55,158,181,292
2021-01-25,2021-02-07,308,583,1097,859,423,614,766,439,38,567,1102,534,153,252,1786,1477,1003,60,159,133,287
2021-02-08,2021-02-21,322,611,1066,923,426,657,771,498,43,723,1336,708,472,314,859,854,491,54,204,191,299
2021-02-22,2021-03-07,336,556,898,899,531,648,678,461,42,509,945,503,220,252,771,719,351,37,188,171,391
2021-03-08,2021-03-21,350,621,1025,983,545,4046,1161,682,70,1942,1447,826,502,741,1290,1183,678,98,325,284,360
2021-03-22,2021-04-04,364,567,859,893,616,2895,901,630,55,1582,1415,834,319,903,1307,1175,774,86,304,244,456
2021-04-05,2021-04-18,378,584,872,807,496,1324,934,593,142,457,1107,547,280,652,1484,1255,701,104,251,255,402
2021-04-19,2021-05-02,392,576,1099,922,535,4633,1268,826,104,1643,1618,940,604,1557,1833,1583,1096,292,286,290,340
2021-05-03,2021-05-16,406,719,1006,1160,648,5671,1659,1012,221,721,1567,865,406,1179,1478,1361,738,122,502,488,513
2021-05-17,2021-05-30,420,697,1024,1160,746,6200,1697,1057,166,2019,1988,1176,536,845,1641,1470,885,598,635,573,556
2021-05-31,2021-06-13,434,816,1453,1366,682,4624,1619,1022,276,1566,2216,1285,742,842,1900,1543,1094,210,472,429,447
2021-06-14,2021-06-27,448,816,893,1249,719,5307,1732,1105,229,608,1415,791,517,2948,2927,2377,1954,225,681,557,1557
2021-06-28,2021-07-11,462,809,1075,1599,986,3809,1485,941,148,1164,1635,863,444,1550,2280,2092,1336,253,1342,1099,1856
2021-07-12,2021-07-25,476,699,658,1303,943,2095,1078,734,114,356,843,476,270,784,2077,1805,1126,253,1471,1197,1139
2021-07-26,2021-08-08,490,758,889,1318,898,1109,1169,796,244,542,1533,925,376,443,1670,1687,918,282,753,639,867
2021-08-09,2021-08-22,504,707,1711,1395,745,959,1201,856,228,1386,3217,1822,756,950,2614,2243,1144,259,1091,906,1398
2021-08-23,2021-09-05,518,764,1285,1309,632,1600,1166,706,115,1423,2345,1299,720,876,1950,1705,1363,121,403,382,618
2021-09-06,2021-09-19,532,668,1162,1152,675,2908,1080,737,129,1193,1943,1113,511,602,1725,1620,693,177,451,406,650
2021-09-20,2021-10-03,546,678,1290,1292,663,4210,1267,838,183,1960,2219,1194,671,610,3980,3232,3018,168,473,423,669
2021-10-04,2021-10-17,560,675,1210,1205,501,4244,1136,855,157,1975,2023,1174,518,646,1957,1788,1931,208,448,477,483
2021-10-18,2021-10-31,574,884,1337,1200,619,2223,1434,1033,334,1385,2973,1808,874,898,1515,1428,1119,1150,1135,873,1331
2021-11-01,2021-11-14,588,609,1178,1192,607,2861,1068,742,145,1183,2805,1808,815,1252,1139,1236,531,232,786,735,881
2021-11-15,2021-11-28,602,694,1530,1073,503,6378,1799,1346,105,1521,2130,1131,508,790,1244,1140,662,151,342,337,581
2021-11-29,2021-12-12,616,769,1219,991,492,5911,2309,1819,130,1101,1755,967,406,793,947,959,499,560,351,287,445
2021-12-13,2021-12-26,630,875,1541,1167,562,3066,1374,1014,208,1374,2192,1227,741,720,1131,1160,542,297,715,650,748
