start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,781,670,400,0,0,0,0,579,1090,524,113,398,480,683,207,143,126,149,325
2020-04-06,2020-04-19,14,0,598,694,406,0,0,0,0,444,661,340,88,367,482,573,273,150,160,185,321
2020-04-20,2020-05-03,28,0,504,631,399,0,0,0,0,240,481,288,58,252,382,443,197,95,106,155,300
2020-05-04,2020-05-17,42,607,548,662,413,404,770,622,46,296,506,275,108,220,608,661,407,33,167,165,291
2020-05-18,2020-05-31,56,602,563,604,355,454,700,639,81,379,807,509,263,272,568,597,256,70,169,192,271
2020-06-01,2020-06-14,70,552,508,653,344,501,661,560,55,481,924,569,283,327,520,541,233,52,169,213,260
2020-06-15,2020-06-28,84,439,470,608,376,645,548,438,67,379,725,421,227,230,692,606,403,90,179,186,323
2020-06-29,2020-07-12,98,444,473,551,362,499,509,409,43,635,721,469,718,242,578,535,273,52,199,208,284
2020-07-13,2020-07-26,112,13,363,495,229,16,15,18,0,274,518,321,237,185,587,547,605,36,119,106,167
2020-07-27,2020-08-09,126,587,529,612,355,634,852,656,137,524,1483,1002,735,383,828,712,420,65,243,235,320
2020-08-10,2020-08-23,140,609,1382,1125,715,1472,1184,633,195,1821,4059,2440,1237,939,2215,2019,1004,230,571,564,731
2020-08-24,2020-09-06,154,629,1491,1402,844,1162,1064,741,210,1221,3560,2028,876,697,2321,1993,1183,324,851,733,911
2020-09-07,2020-09-20,168,847,1306,1451,933,11947,2372,1515,1231,3368,3623,2200,1125,2147,2366,2176,1158,215,716,597,884
2020-09-21,2020-10-04,182,691,1098,1086,623,7034,1552,894,102,1795,2553,1506,810,1817,1661,1471,802,133,574,478,607
2020-10-05,2020-10-18,196,615,969,1006,608,3469,1228,785,147,1102,1532,771,355,991,1073,1038,622,226,588,485,696
2020-10-19,2020-11-01,210,604,893,1046,722,1758,937,658,85,1359,1750,1012,661,563,3057,2520,888,122,464,406,600
2020-11-02,2020-11-15,224,653,1096,1185,813,4737,1244,861,160,806,1552,871,422,515,1451,1372,756,128,431,439,764
2020-11-16,2020-11-29,238,795,1012,1083,682,6192,1487,1019,91,2345,1491,929,632,553,982,1040,542,159,304,287,477
2020-11-30,2020-12-13,252,684,1067,893,555,5851,1385,827,120,1322,2118,1278,792,526,1487,1270,616,109,482,418,492
2020-12-14,2020-12-27,266,736,1300,1379,832,1036,1016,737,114,1064,2117,1299,841,782,2050,1776,754,163,543,489,703
2020-12-28,2021-01-10,280,701,1093,1033,678,717,860,585,46,805,1563,904,1683,334,1149,1121,550,60,270,270,447
2021-01-11,2021-01-24,294,583,1090,804,458,601,759,470,33,758,1315,650,395,292,741,715,380,42,146,178,296
2021-01-25,2021-02-07,308,612,1068,894,415,668,797,479,34,520,1058,466,149,288,1716,1415,909,52,289,214,318
2021-02-08,2021-02-21,322,634,1089,860,455,738,787,523,48,737,1408,729,507,296,844,823,416,60,201,189,365
2021-02-22,2021-03-07,336,540,903,912,539,699,663,477,40,501,1024,542,231,263,742,705,382,43,172,183,411
2021-03-08,2021-03-21,350,624,1034,980,550,3363,1089,642,74,1619,1476,862,515,965,1244,1142,706,51,235,224,356
2021-03-22,2021-04-04,364,588,855,913,606,3184,970,652,81,740,1467,843,309,723,960,954,643,109,276,252,431
2021-04-05,2021-04-18,378,590,881,817,508,1232,911,610,149,584,1305,756,441,551,929,902,550,64,193,215,351
2021-04-19,2021-05-02,392,607,1095,916,545,4401,1306,772,112,1308,1666,937,344,1498,1489,1379,697,294,303,291,389
2021-05-03,2021-05-16,406,685,1011,1169,660,5905,1545,1014,191,1573,1892,1112,623,1131,1506,1430,767,131,476,460,489
2021-05-17,2021-05-30,420,707,1054,1165,692,5707,1633,1031,152,1636,2059,1206,423,878,1460,1330,824,248,443,447,460
2021-05-31,2021-06-13,434,805,1462,1384,681,4246,1571,971,273,1806,2316,1416,819,773,2032,1759,1233,213,470,405,399
2021-06-14,2021-06-27,448,812,850,1281,754,5573,1811,1180,198,610,1260,696,248,1558,1673,1490,987,191,569,527,744
2021-06-28,2021-07-11,462,789,1082,1608,990,3651,1425,896,126,1060,1950,1062,572,1379,2418,2290,1400,1694,870,799,893
2021-07-12,2021-07-25,476,653,667,1331,953,2051,1036,660,106,341,807,473,222,820,2107,1820,1228,252,684,644,843
2021-07-26,2021-08-08,490,747,885,1339,899,993,1041,777,216,570,1519,920,347,664,2087,1894,1272,237,623,533,814
2021-08-09,2021-08-22,504,736,1693,1420,721,1090,1448,943,315,1610,3224,1754,770,722,1799,1678,885,310,1052,889,1370
2021-08-23,2021-09-05,518,810,1279,1305,628,1672,1298,820,150,977,2326,1306,801,797,1546,1443,797,116,369,386,565
2021-09-06,2021-09-19,532,653,1191,1132,670,2966,1088,747,137,1391,2243,1329,658,1676,1830,1623,723,169,613,525,883
2021-09-20,2021-10-03,546,692,1325,1264,660,5522,1294,865,150,2011,2522,1349,759,557,3817,3085,2976,149,428,407,648
2021-10-04,2021-10-17,560,693,1188,1235,510,5491,1373,1037,172,1172,1897,1043,538,758,1971,1798,1925,200,434,475,443
2021-10-18,2021-10-31,574,876,1312,1182,659,2502,1338,998,243,1690,3319,2036,1252,767,1893,1708,941,1134,1046,820,1424
2021-11-01,2021-11-14,588,568,1179,1195,623,2732,1029,730,123,1374,3451,2231,1178,917,1442,1437,1141,153,496,453,661
2021-11-15,2021-11-28,602,662,1543,1068,525,5931,1684,1263,92,1631,2198,1126,591,839,1292,1149,670,158,406,356,514
2021-11-29,2021-12-12,616,749,1201,1050,517,6460,2320,1804,126,1445,1762,926,368,816,894,947,449,846,733,566,848
2021-12-13,2021-12-26,630,877,1577,1159,567,3213,1274,990,198,1326,2071,1087,565,986,1238,1202,656,306,628,576,712
2021-12-27,2022-01-09,644,863,1915,1347,637,2454,1263,945,140,3061,3189,1817,1398,568,1263,1245,660,111,371,352,578
2022-01-10,2022-01-23,658,600,1336,1329,612,3567,1129,743,83,1778,2090,1117,667,1297,1456,1436,806,138,473,405,472
