start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,771,686,399,0,0,0,0,600,981,493,110,390,513,649,205,147,122,142,314
2020-04-06,2020-04-19,14,0,577,704,401,0,0,0,0,465,628,344,69,379,507,616,256,146,165,204,326
2020-04-20,2020-05-03,28,0,503,608,401,0,0,0,0,246,476,285,73,243,357,439,172,104,125,151,321
2020-05-04,2020-05-17,42,611,546,637,433,398,724,612,53,322,503,280,102,213,451,502,195,33,159,176,304
2020-05-18,2020-05-31,56,589,566,602,366,415,714,578,73,386,819,514,272,246,653,622,280,69,150,206,267
2020-06-01,2020-06-14,70,562,495,634,374,615,718,554,96,511,969,613,291,313,522,561,208,46,160,184,283
2020-06-15,2020-06-28,84,463,485,578,365,684,595,488,74,466,1134,690,475,226,610,596,383,82,253,236,368
2020-06-29,2020-07-12,98,440,456,570,376,469,527,439,55,310,738,457,190,333,698,633,528,106,242,235,552
2020-07-13,2020-07-26,112,16,343,479,239,12,16,17,2,212,413,248,161,225,888,755,407,52,128,129,183
2020-07-27,2020-08-09,126,576,542,608,345,689,802,650,116,547,1559,964,741,364,1038,840,382,69,233,204,303
2020-08-10,2020-08-23,140,606,1386,1158,684,1642,1324,752,324,1705,3855,2368,1086,964,2214,1975,1167,179,512,480,649
2020-08-24,2020-09-06,154,687,1495,1423,816,1329,1215,823,210,3419,3452,1973,1392,626,2403,2019,1168,362,841,668,952
2020-09-07,2020-09-20,168,864,1355,1439,922,13492,2466,1525,1210,3861,4234,2598,1168,2466,2458,2231,1184,270,739,649,1100
2020-09-21,2020-10-04,182,704,1081,1129,614,7225,1568,960,132,1572,2860,1753,777,2402,1768,1556,831,129,526,456,598
2020-10-05,2020-10-18,196,610,959,1023,597,3362,1197,742,142,1138,1644,850,472,529,1079,1041,518,214,476,416,734
2020-10-19,2020-11-01,210,626,879,1012,746,1852,964,687,104,1397,1774,1061,614,622,1422,1294,604,124,421,411,562
2020-11-02,2020-11-15,224,635,1112,1202,792,6197,1226,865,160,1183,1501,803,432,1334,1649,1548,771,134,452,446,694
2020-11-16,2020-11-29,238,787,1040,1069,685,6059,1506,1038,94,1713,1348,776,342,737,1157,1125,724,175,366,375,524
2020-11-30,2020-12-13,252,700,1054,899,572,6556,1488,875,132,1345,2052,1187,768,411,1466,1228,637,111,500,437,498
