start date,end date,start day as a number,N 0-17,N 18-45,N 45-64,N 65-120,0-17 to 0-17,0-17 to 18-45,0-17 to 45-64,0-17 to 65-120,18-45 to 0-17,18-45 to 18-45,18-45 to 45-64,18-45 to 65-120,45-64 to 0-17,45-64 to 18-45,45-64 to 45-64,45-64 to 65-120,65-120 to 0-17,65-120 to 18-45,65-120 to 45-64,65-120 to 65-120
2020-03-23,2020-04-05,0,0,767,654,415,0,0,0,0,640,1011,491,102,371,475,666,198,149,116,147,337
2020-04-06,2020-04-19,14,0,597,690,384,0,0,0,0,495,704,345,88,354,499,592,268,146,160,184,295
2020-04-20,2020-05-03,28,0,496,600,395,0,0,0,0,246,483,282,68,252,354,425,157,101,118,164,275
2020-05-04,2020-05-17,42,612,569,660,403,427,776,622,51,315,465,263,124,241,760,781,446,30,160,187,278
2020-05-18,2020-05-31,56,595,533,617,382,442,715,623,84,353,755,412,183,254,707,701,320,83,187,228,293
2020-06-01,2020-06-14,70,553,501,616,367,517,665,577,83,528,1044,666,301,293,515,568,243,64,191,201,321
2020-06-15,2020-06-28,84,455,465,580,375,623,543,488,77,355,851,520,349,215,620,569,370,113,317,265,403
2020-06-29,2020-07-12,98,460,446,539,357,556,494,432,52,631,840,535,663,279,684,613,486,103,316,275,548
2020-07-13,2020-07-26,112,16,372,468,248,11,23,24,2,227,488,270,201,237,991,806,596,38,140,138,171
2020-07-27,2020-08-09,126,600,549,603,348,647,834,701,149,477,1491,978,497,359,973,805,378,67,243,233,310
2020-08-10,2020-08-23,140,606,1415,1150,690,1540,1289,702,296,1451,4233,2569,1331,927,2229,1971,1071,211,597,527,633
2020-08-24,2020-09-06,154,676,1434,1424,813,1301,1224,799,215,3473,3352,1880,1364,739,2190,1957,1205,238,869,732,828
2020-09-07,2020-09-20,168,883,1305,1406,933,12267,2251,1356,154,2945,3559,2126,2004,3647,2494,2299,1104,283,829,705,1096
2020-09-21,2020-10-04,182,689,1096,1067,612,6713,1543,906,104,2043,2947,1844,1009,2965,1697,1578,810,131,467,398,570
2020-10-05,2020-10-18,196,628,958,1050,595,3302,1229,770,125,1064,1674,909,599,836,1189,1144,617,235,537,477,663
2020-10-19,2020-11-01,210,609,869,1024,727,1595,907,652,84,970,1553,877,440,698,3046,2518,911,145,531,458,654
2020-11-02,2020-11-15,224,650,1127,1213,776,4566,1188,926,94,1472,1588,924,468,1175,1491,1482,740,121,398,408,606
2020-11-16,2020-11-29,238,798,1002,1070,713,6382,1485,1029,96,1341,1377,842,406,739,1094,1123,537,175,327,361,512
2020-11-30,2020-12-13,252,725,1057,895,562,4906,1441,881,122,1104,1779,1038,875,461,991,930,342,128,498,432,492
2020-12-14,2020-12-27,266,753,1278,1349,852,982,994,716,101,1085,1788,1119,521,731,1872,1649,776,177,607,544,704
2020-12-28,2021-01-10,280,695,1075,1083,663,683,861,590,46,769,1534,849,1579,363,1150,1094,553,69,277,293,449
2021-01-11,2021-01-24,294,539,1125,792,463,526,691,445,32,578,1363,668,403,329,942,848,627,44,158,189,296
2021-01-25,2021-02-07,308,594,1066,863,424,762,799,470,24,494,1144,527,159,268,863,831,567,53,199,168,276
2021-02-08,2021-02-21,322,588,1071,875,457,741,747,488,46,759,1185,635,281,342,976,958,576,234,322,268,528
2021-02-22,2021-03-07,336,524,912,893,536,683,656,441,39,508,936,466,163,252,789,772,341,43,169,161,381
2021-03-08,2021-03-21,350,638,1018,961,547,3691,1112,697,62,687,1078,562,296,722,1189,1098,445,77,306,270,357
2021-03-22,2021-04-04,364,561,856,941,595,4332,1500,968,1076,1578,1081,589,226,900,1483,1354,841,87,265,235,409
2021-04-05,2021-04-18,378,573,878,791,511,1139,872,560,273,477,1113,625,332,576,1402,1216,599,63,198,200,341
2021-04-19,2021-05-02,392,576,1117,912,550,4335,1271,772,104,1073,1529,814,371,1297,1717,1556,1153,224,336,328,377
2021-05-03,2021-05-16,406,696,986,1205,657,5506,1574,985,233,1053,1868,1111,739,1006,1419,1422,762,130,462,444,477
2021-05-17,2021-05-30,420,689,1037,1200,711,5649,1595,1040,139,1639,2316,1340,670,769,1469,1342,837,311,507,487,517
2021-05-31,2021-06-13,434,783,1426,1483,687,4363,1569,937,256,1789,2173,1296,693,972,1892,1581,1081,289,572,487,541
2021-06-14,2021-06-27,448,811,860,1252,780,5746,1852,1217,218,581,1324,761,349,2638,2945,2395,1987,315,800,644,1596
2021-06-28,2021-07-11,462,817,1056,1631,990,4120,1585,1031,272,964,1673,899,413,1578,2546,2421,1220,1676,832,763,929
2021-07-12,2021-07-25,476,671,661,1274,929,2104,1048,717,116,344,850,508,262,711,2318,1995,1165,208,659,626,753
2021-07-26,2021-08-08,490,762,941,1316,891,1099,1140,847,235,558,1680,1022,407,694,2021,1840,1261,231,726,583,881
2021-08-09,2021-08-22,504,748,1695,1428,687,1017,1489,996,339,1570,3167,1736,844,665,1802,1665,919,328,1067,877,1328
2021-08-23,2021-09-05,518,795,1269,1323,640,1692,1271,784,125,1080,2252,1333,794,882,1743,1608,1286,131,389,397,622
2021-09-06,2021-09-19,532,669,1160,1166,649,3363,1103,796,142,1436,2165,1267,640,1229,1790,1671,632,172,458,431,718
2021-09-20,2021-10-03,546,666,1333,1252,665,5133,1233,767,147,1803,2097,1035,462,614,2648,2255,2784,164,437,413,625
2021-10-04,2021-10-17,560,699,1194,1212,515,5409,1437,1016,203,1874,2008,1139,400,823,1426,1365,874,187,377,426,445
2021-10-18,2021-10-31,574,894,1316,1215,647,2249,1386,981,238,1494,2760,1596,1055,1019,2189,1912,1061,126,429,382,1095
2021-11-01,2021-11-14,588,625,1132,1217,624,2905,1153,761,137,1033,2380,1380,703,787,1547,1518,1085,157,694,695,739
2021-11-15,2021-11-28,602,645,1515,1073,493,6270,1723,1290,82,1532,2324,1223,611,708,1239,1130,680,94,310,295,665
2021-11-29,2021-12-12,616,781,1221,954,511,4730,1239,1019,135,1306,1847,917,452,520,828,872,494,766,1157,891,1292
2021-12-13,2021-12-26,630,899,1544,1197,573,3084,1407,1005,189,1136,2089,1164,643,964,1159,1156,650,190,534,512,605
2021-12-27,2022-01-09,644,862,1917,1352,630,7179,3249,2390,178,1892,2858,1525,1008,545,1602,1504,819,134,456,414,584
2022-01-10,2022-01-23,658,586,1318,1326,619,3480,1098,766,76,1324,1887,979,643,926,1557,1483,876,120,537,469,589
2022-01-24,2022-02-06,672,875,1695,1077,626,7069,1541,1139,165,1753,2724,1552,652,491,893,1001,618,3025,2335,1735,3634
2022-02-07,2022-02-20,686,645,1345,1060,511,2525,946,765,170,1299,2342,1250,490,1012,1379,1347,739,108,334,330,498
2022-02-21,2022-03-06,700,533,972,610,265,4082,1020,763,160,872,2185,1209,389,371,561,570,340,56,156,155,236
